state,county,year,impervious
Virginia,Prince Edward County,2010,1.32
Virginia,Buckingham County,2010,0.65
Virginia,Page County,2010,1.63
Virginia,Prince William County,2010,11.79
Virginia,Shenandoah County,2010,1.85
Virginia,Fauquier County,2010,1.37
Virginia,Accomack County,2010,1.76
Virginia,Middlesex County,2010,2.04
Virginia,Westmoreland County,2010,1.59
Virginia,Highland County,2010,0.27
Virginia,Halifax County,2010,1.16
Maryland,Talbot County,2010,2.94
Maryland,Prince George's County,2010,17.01
Maryland,Queen Anne's County,2010,2.79
Maryland,Garrett County,2010,1.16
Virginia,Rockingham County,2010,1.93
Virginia,Montgomery County,2010,3.74
Virginia,Goochland County,2010,1.61
Virginia,Isle of Wight County,2010,2.26
Virginia,Orange County,2010,1.23
Virginia,Botetourt County,2010,1.35
Virginia,Amherst County,2010,1.14
Virginia,Amelia County,2010,0.81
Virginia,King and Queen County,2010,0.64
Virginia,Greensville County,2010,1.17
Virginia,Loudoun County,2010,7.66
Virginia,Bedford County,2010,1.49
Virginia,Henry County,2010,2.76
Maryland,Somerset County,2010,1.73
Maryland,St. Mary's County,2010,3.89
Virginia,Richmond County,2010,1.1
Virginia,Northumberland County,2010,1.48
Virginia,Essex County,2010,1.09
Virginia,Lancaster County,2010,1.79
Virginia,Pittsylvania County,2010,1.45
Virginia,King George County,2010,2.12
Maryland,Allegany County,2010,3.01
Maryland,Anne Arundel County,2010,14.45
Maryland,Kent County,2010,1.82
Maryland,Carroll County,2010,4.67
Maryland,Worcester County,2010,2.62
District of Columbia,District of Columbia,2010,42.43
Virginia,Prince George County,2010,2.95
Virginia,Rappahannock County,2010,0.39
Virginia,Franklin County,2010,1.32
Virginia,Henrico County,2010,16.98
Virginia,Bath County,2010,0.32
Virginia,Patrick County,2010,0.79
Virginia,Spotsylvania County,2010,3.59
Virginia,Charlotte County,2010,0.79
Virginia,Louisa County,2010,1.19
Virginia,King William County,2010,1.04
Virginia,Caroline County,2010,1.29
Virginia,Surry County,2010,0.77
Virginia,Lexington city,2010,27.06
Virginia,Augusta County,2010,1.61
Virginia,Campbell County,2010,2.15
Virginia,Dickenson County,2010,0.72
Virginia,Wise County,2010,1.79
Maryland,Charles County,2010,3.86
Virginia,Washington County,2010,1.7
Maryland,Harford County,2010,6.58
Maryland,Cecil County,2010,4.05
Virginia,Rockbridge County,2010,1.04
Virginia,Powhatan County,2010,1.18
Virginia,Carroll County,2010,1.13
Virginia,Fredericksburg city,2010,32.78
Virginia,Alleghany County,2010,1.02
Virginia,Floyd County,2010,0.78
Virginia,Russell County,2010,1.15
Virginia,Culpeper County,2010,1.59
Virginia,Albemarle County,2010,1.71
Virginia,Gloucester County,2010,2.04
Virginia,Charles City County,2010,0.67
