state,county,year,impervious
Virginia,Emporia city,2010,21.29
Virginia,Lee County,2010,1.22
Virginia,Frederick County,2010,3.65
Maryland,Baltimore County,2010,13.37
Maryland,Washington County,2010,5.35
Maryland,Calvert County,2010,4.03
Virginia,Southampton County,2010,0.96
Virginia,Stafford County,2010,5.48
Virginia,New Kent County,2010,1.67
Virginia,Warren County,2010,2.96
Virginia,Hanover County,2010,3.69
Virginia,Mecklenburg County,2010,1.44
Virginia,Buchanan County,2010,0.96
Maryland,Caroline County,2010,2.37
Virginia,Appomattox County,2010,1.04
Virginia,James City County,2010,6.58
Virginia,Grayson County,2010,0.67
Virginia,Fairfax County,2010,21.4
Virginia,York County,2010,8.99
Virginia,Pulaski County,2010,2.53
Virginia,Tazewell County,2010,1.54
Maryland,Howard County,2010,12.24
Maryland,Montgomery County,2010,12.77
Maryland,Dorchester County,2010,1.63
Virginia,Greene County,2010,1.38
Virginia,Dinwiddie County,2010,1.52
Maryland,Frederick County,2010,4.86
Virginia,Harrisonburg city,2010,36.83
Virginia,Brunswick County,2010,0.96
Virginia,Nottoway County,2010,1.84
Virginia,Danville city,2010,21.17
Virginia,Galax city,2010,18.14
Virginia,Nelson County,2010,0.66
Virginia,Lunenburg County,2010,0.8
Virginia,Fairfax city,2010,37.65
Virginia,Franklin city,2010,17.22
Virginia,Salem city,2010,32.61
Virginia,Poquoson city,2010,8.59
Virginia,Buena Vista city,2010,17.25
Virginia,Cumberland County,2010,0.69
Maryland,Wicomico County,2010,4.72
Virginia,Giles County,2010,1.1
Virginia,Mathews County,2010,1.45
Virginia,Scott County,2010,0.93
Virginia,Arlington County,2010,41.9
Virginia,Alexandria city,2010,50.62
Virginia,Richmond city,2010,37.17
Virginia,Petersburg city,2010,26.14
Virginia,Norfolk city,2010,48.05
Virginia,Hopewell city,2010,37.3
Virginia,Roanoke city,2010,35.28
Virginia,Colonial Heights city,2010,34.27
Maryland,Baltimore city,2010,52.22
Virginia,Roanoke County,2010,5.08
Virginia,Chesterfield County,2010,9.49
Virginia,Sussex County,2010,0.94
Virginia,Hampton city,2010,32.76
Virginia,Portsmouth city,2010,38.66
Virginia,Winchester city,2010,42.28
Virginia,Wythe County,2010,1.53
Virginia,Manassas Park city,2010,33.79
Virginia,Chesapeake city,2010,9.63
Virginia,Charlottesville city,2010,32.78
Virginia,Williamsburg city,2010,18.63
Virginia,Norton city,2010,13.95
Virginia,Radford city,2010,19.37
Virginia,Covington city,2010,23.32
Virginia,Staunton city,2010,17.93
Virginia,Bland County,2010,0.51
Virginia,Bristol city,2010,27.89
Virginia,Craig County,2010,0.39
Virginia,Waynesboro city,2010,23.45
Virginia,Northampton County,2010,1.37
Virginia,Madison County,2010,0.62
Virginia,Clarke County,2010,1.48
Virginia,Lynchburg city,2010,19.65
Virginia,Virginia Beach city,2010,16.99
Virginia,Fluvanna County,2010,1.05
Virginia,Martinsville city,2010,22.33
Virginia,Manassas city,2010,42.79
Virginia,Newport News city,2010,32.33
Virginia,Smyth County,2010,1.29
Virginia,Falls Church city,2010,37.08
Virginia,Suffolk city,2010,3.66
