state,county,year,builtup,forest,agriculture,other
District of Columbia,District of Columbia,2020,82.67999999999999,6.71,0.06,10.559999999999999
Maryland,Allegany County,2020,11.54,76.21,8.9,3.3699999999999997
Maryland,Anne Arundel County,2020,43.67,28.300000000000004,8.94,19.09
Maryland,Baltimore County,2020,39.12,33.16,21.33,6.39
Maryland,Baltimore city,2020,90.28,3.79,0.08,5.849999999999999
Maryland,Calvert County,2020,20.759999999999998,46.29,11.36,21.57
Maryland,Caroline County,2020,10.35,13.969999999999999,54.879999999999995,20.799999999999997
Maryland,Carroll County,2020,21.330000000000002,26.51,49.620000000000005,2.5300000000000002
Maryland,Cecil County,2020,17.390000000000004,32.33,35.96,14.3
Maryland,Charles County,2020,15.91,49.01,13.15,21.93
Maryland,Dorchester County,2020,6.13,7.3999999999999995,27.45,59.010000000000005
Maryland,Frederick County,2020,18.990000000000002,32.43,46.15,2.42
Maryland,Garrett County,2020,6.960000000000001,69.86999999999999,16.89,6.29
Maryland,Harford County,2020,25.02,34.62,28.869999999999997,11.48
Maryland,Howard County,2020,44.550000000000004,29.48,23.47,2.48
Maryland,Kent County,2020,8.4,12.21,57.61,21.79
Maryland,Montgomery County,2020,46.300000000000004,25.919999999999998,22.02,5.749999999999999
Maryland,Prince George's County,2020,47.86,31.25,8.629999999999999,12.27
Maryland,Queen Anne's County,2020,12.280000000000003,9.719999999999999,53.93,24.069999999999997
Maryland,Somerset County,2020,7.06,9.25,19.560000000000002,64.13
Maryland,St. Mary's County,2020,16.830000000000002,38.54,19.12,25.51
Maryland,Talbot County,2020,12.28,11.55,46.35,29.83
Maryland,Washington County,2020,18.770000000000003,38.44,39.79,2.9999999999999996
Maryland,Wicomico County,2020,16.24,18.24,30.38,35.14
Maryland,Worcester County,2020,8.59,10.030000000000001,23.34,58.03999999999999
Virginia,Accomack County,2020,6.91,6.659999999999999,21.56,64.87
Virginia,Albemarle County,2020,10.19,63,22.349999999999998,4.45
Virginia,Alexandria city,2020,96.36,1.1300000000000001,NA,2.4899999999999998
Virginia,Alleghany County,2020,5.3100000000000005,88.38,4.7700000000000005,1.55
Virginia,Amelia County,2020,5.4,54.82,20.84,18.93
Virginia,Amherst County,2020,7.220000000000001,74.75,14,4.029999999999999
Virginia,Appomattox County,2020,6.73,56.6,22.669999999999998,14
Virginia,Arlington County,2020,96.7,2.67,NA,0.63
Virginia,Augusta County,2020,8.51,56.68,34.11,0.7100000000000001
Virginia,Bath County,2020,2.8499999999999996,88.83,6.180000000000001,2.1499999999999995
Virginia,Bedford County,2020,9.799999999999999,58.54,26.47,5.1899999999999995
Virginia,Bland County,2020,3.8299999999999996,77.33000000000001,17.529999999999998,1.31
Virginia,Botetourt County,2020,8.049999999999999,73.42,16.580000000000002,1.9400000000000002
Virginia,Bristol city,2020,76.3,17.04,5.79,0.8700000000000001
Virginia,Brunswick County,2020,5.54,59.86999999999999,10.879999999999999,23.69
Virginia,Buchanan County,2020,5.5,89.58999999999999,0.57,4.34
Virginia,Buckingham County,2020,4.819999999999999,64.07,13.56,17.550000000000004
Virginia,Buena Vista city,2020,51.660000000000004,36.95,7.15,4.25
Virginia,Campbell County,2020,10.85,51.93,24.68,12.530000000000001
Virginia,Caroline County,2020,7.09,56.44,14.219999999999999,22.269999999999996
Virginia,Carroll County,2020,9.06,60.33,28.25,2.3400000000000003
Virginia,Charles City County,2020,4.26,43.370000000000005,14.97,37.39
Virginia,Charlotte County,2020,5.3500000000000005,54.8,21.189999999999998,18.65
Virginia,Charlottesville city,2020,93.91,5.34,0.12,0.63
Virginia,Chesapeake city,2020,25.279999999999998,3.3099999999999996,20.009999999999998,51.39
Virginia,Chesterfield County,2020,37.76,45.43000000000001,3.5,13.31
Virginia,Clarke County,2020,8.6,36.78,53.25,1.37
Virginia,Colonial Heights city,2020,76.71000000000001,5.539999999999999,NA,17.75
Virginia,Covington city,2020,56.63,36.07,5.33,1.99
Virginia,Craig County,2020,3.8200000000000003,84.17,11.069999999999999,0.94
Virginia,Culpeper County,2020,8.86,43.06,41.489999999999995,6.58
Virginia,Cumberland County,2020,5.2,58.629999999999995,17.56,18.619999999999997
Virginia,Danville city,2020,60.17,30.14,5.54,4.13
Virginia,Dickenson County,2020,5.93,86.89,2.93,4.25
Virginia,Dinwiddie County,2020,7.44,54.77,14.129999999999999,23.64
Virginia,Emporia city,2020,54.32000000000001,19.810000000000002,9.93,15.91
Virginia,Essex County,2020,5.64,43.769999999999996,25.459999999999997,25.13
Virginia,Fairfax County,2020,66.86,24.66,1.78,6.69
Virginia,Fairfax city,2020,96.86,3.02,NA,0.12
Virginia,Falls Church city,2020,99.67,0.03,NA,0.3
Virginia,Fauquier County,2020,8.35,44.65,42.53,4.46
Virginia,Floyd County,2020,7.209999999999999,61.339999999999996,29.669999999999998,1.77
Virginia,Fluvanna County,2020,7.93,63.790000000000006,16.42,11.86
Virginia,Franklin County,2020,9.11,61.64000000000001,23.040000000000003,6.2299999999999995
Virginia,Franklin city,2020,47.4,16.549999999999997,16.330000000000002,19.71
Virginia,Frederick County,2020,15.21,53.160000000000004,30.07,1.5799999999999998
Virginia,Fredericksburg city,2020,76.51,18.04,0.98,4.48
Virginia,Galax city,2020,60.39,25.64,13.17,0.81
