state.x,county.x,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,builtup,forest,agriculture,other,impervious,total_pop.x,median_income,area_km2,pop_density,total_population,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,road_density_km_per_km2
MARYLAND,Anne Arundel County,1996/6/19,1,1,25000,0,0,1,6,Summer,152,152,23.87000084,34.70000076,30.09214847,35.13999939,42.43000031,39.87044926,23.48999977,46.40000153,33.44761712,39.63,30.36,10.15,19.87,13,527020,83456,1175.8021063671024,448.2216838583012,527020,56331,10.69,15.557014634410494,4.330756630159611,5.388400774364737,10.020205233730897,17.41525309001313,5.765879314
MARYLAND,Anne Arundel County,1996/10/18,1,1,5000,0,0,1,10,Fall,121,121,0,0,0,0,0,0,12.42000008,24.87000084,17.52992186,39.63,30.36,10.15,19.87,13,527020,83456,1175.8021063671024,448.2216838583012,527020,56331,10.69,15.557014634410494,4.330756630159611,5.388400774364737,10.020205233730897,17.41525309001313,5.765879314
MARYLAND,Anne Arundel County,1996/12/13,1,1,10000,0,0,1,12,Winter,56,56,2.029999971,7.159999847,4.356171879,2.2300000190000002,5.510000229,3.728847664,50.50999832,56.77999878,53.75505853,39.63,30.36,10.15,19.87,13,527020,83456,1175.8021063671024,448.2216838583012,527020,56331,10.69,15.557014634410494,4.330756630159611,5.388400774364737,10.020205233730897,17.41525309001313,5.765879314
MARYLAND,Anne Arundel County,1998/2/4,1,1,10000,0,0,1,2,Winter,418,418,0,0,0,0,19.94000053,5.834531233,33.11000061,50.15000153,41.37712884,39.63,30.36,10.15,19.87,13,527020,83456,1175.8021063671024,448.2216838583012,527020,56331,10.69,15.557014634410494,4.330756630159611,5.388400774364737,10.020205233730897,17.41525309001313,5.765879314
MARYLAND,Anne Arundel County,1999/8/26,1,1,100000,0,0,1,8,Summer,568,568,13.43000031,27.01000023,20.65066408,20.20999908,36.33000183,29.91074216,27.14999962,36.43000031,32.01572261,39.63,30.36,10.15,19.87,13,527020,83456,1175.8021063671024,448.2216838583012,527020,56331,10.69,15.557014634410494,4.330756630159611,5.388400774364737,10.020205233730897,17.41525309001313,5.765879314
MARYLAND,Anne Arundel County,1999/9/16,1,1,2000000,0,0,1,9,Fall,21,21,0,0,0,31.57999992,69.58999634,50.63039064,88.70999908,149.4499969,118.839746,39.63,30.36,10.15,19.87,13,527020,83456,1175.8021063671024,448.2216838583012,527020,56331,10.69,15.557014634410494,4.330756630159611,5.388400774364737,10.020205233730897,17.41525309001313,5.765879314
MARYLAND,Baltimore County,1996/6/17,1,1,50000,0,0,1,6,Summer,NA,NA,0,0,0,0,0,0,18.84000015,25.59000015,22.25075473,36.11,34.120000000000005,23.270000000000003,6.500000000000001,12.5,799195,63959,1635.2891165930628,488.71786150269935,799195,164297,20.56,17.756766236731774,5.746092802847505,9.779115946,7.421026241016213,29.84559538410473,7.010171119
MARYLAND,Baltimore County,1996/6/19,2,2,50000,0,2,1,6,Summer,2,2,18.84000015,25.59000015,22.25075473,25.53000069,32.22999954,29.11999998,47.31000137,52.06999969,49.76075457,36.11,34.120000000000005,23.270000000000003,6.500000000000001,12.5,799195,63959,1635.2891165930628,488.71786150269935,799195,164297,20.56,17.756766236731774,5.746092802847505,9.779115946,7.421026241016213,29.84559538410473,7.010171119
MARYLAND,Baltimore County,1996/6/19,2,2,50000,0,2,1,6,Summer,2,2,18.84000015,25.59000015,22.25075473,25.53000069,32.22999954,29.11999998,47.31000137,52.06999969,49.76075457,36.11,34.120000000000005,23.270000000000003,6.500000000000001,12.5,799195,63959,1635.2891165930628,488.71786150269935,799195,164297,20.56,17.756766236731774,5.746092802847505,9.779115946,7.421026241016213,29.84559538410473,7.010171119
MARYLAND,Baltimore County,1996/7/8,1,1,10000,0,0,1,7,Summer,19,19,0,0,0,0,0,0,0,0,0,36.11,34.120000000000005,23.270000000000003,6.500000000000001,12.5,799195,63959,1635.2891165930628,488.71786150269935,799195,164297,20.56,17.756766236731774,5.746092802847505,9.779115946,7.421026241016213,29.84559538410473,7.010171119
MARYLAND,Baltimore County,1996/9/8,1,1,10000,0,0,1,9,Fall,62,62,9.81000042,12.27999973,11.16509439,0,0,0,0,0,0,36.11,34.120000000000005,23.270000000000003,6.500000000000001,12.5,799195,63959,1635.2891165930628,488.71786150269935,799195,164297,20.56,17.756766236731774,5.746092802847505,9.779115946,7.421026241016213,29.84559538410473,7.010171119
MARYLAND,Baltimore County,1996/12/13,1,1,10000,0,0,1,12,Winter,96,96,4.440000057,5.300000191,5.001320794,2.089999914,2.49000001,2.263396232,54.22000122,56.5,55.45716973,36.11,34.120000000000005,23.270000000000003,6.500000000000001,12.5,799195,63959,1635.2891165930628,488.71786150269935,799195,164297,20.56,17.756766236731774,5.746092802847505,9.779115946,7.421026241016213,29.84559538410473,7.010171119
MARYLAND,Baltimore County,1999/8/26,1,1,2500000,0,0,1,8,Summer,986,986,24.20999908,26.799999239999998,25.72754712,16.48999977,20.03000069,18.28509435,37.13999939,44.79999924,41.59735863,36.11,34.120000000000005,23.270000000000003,6.500000000000001,12.5,799195,63959,1635.2891165930628,488.71786150269935,799195,164297,20.56,17.756766236731774,5.746092802847505,9.779115946,7.421026241016213,29.84559538410473,7.010171119
MARYLAND,Baltimore County,1999/9/16,1,1,10000,0,0,1,9,Fall,21,21,0,0,0,24.56999969,34.52999878,28.59132079,135.6699982,154.0099945,144.3260377,36.11,34.120000000000005,23.270000000000003,6.500000000000001,12.5,799195,63959,1635.2891165930628,488.71786150269935,799195,164297,20.56,17.756766236731774,5.746092802847505,9.779115946,7.421026241016213,29.84559538410473,7.010171119
