CZ_NAME,date_dt,STATE,injuries,fatalities,damage_property,n_episodes,n_events,label,month,season,prev_damage_date,prcp_min_d0,prcp_min_d1,prcp_min_d2,prcp_max_d0,prcp_max_d1,prcp_max_d2,prcp_avg_d0,prcp_avg_d1,prcp_avg_d2
ALBEMARLE COUNTY,2012-06-01,VIRGINIA,0,0,0.0,1,1,0,6,Summer,,13.1300001144409,0.0,0.0,29.7700004577637,4.0,0.0,17.8935322316365,0.355101058555407,0.0
ALBEMARLE COUNTY,2013-06-17,VIRGINIA,0,0,0.0,1,1,0,6,Summer,,7.63000011444092,1.05999994277954,0.0,46.5299987792969,7.59999990463257,0.0,26.7877189803284,4.69774781269334,0.0
ALBEMARLE COUNTY,2013-06-18,VIRGINIA,0,0,0.0,1,1,0,6,Summer,,6.17999982833862,7.63000011444092,1.05999994277954,20.8700008392334,46.5299987792969,7.59999990463257,10.8503657406173,26.7877189803284,4.69774781269334
ALBEMARLE COUNTY,2013-07-11,VIRGINIA,0,0,0.0,1,5,0,7,Summer,,24.4699993133545,6.32999992370605,0.0,71.129997253418,28.0400009155273,1.95000004768372,39.5320981606712,12.2484215455519,0.152175170503005
ALBEMARLE COUNTY,2014-06-28,VIRGINIA,0,0,0.0,1,1,0,6,Summer,,0.0,0.0,0.0,0.0,0.0,17.8999996185303,0.0,0.0,6.52210779460837
ALBEMARLE COUNTY,2015-07-27,VIRGINIA,0,0,0.0,1,1,0,7,Summer,,3.02999997138977,0.0,0.0,22.3999996185303,8.32999992370605,0.0,11.4001828708594,0.259855632029323,0.0
ALBEMARLE COUNTY,2015-07-28,VIRGINIA,0,0,0.0,1,1,0,7,Summer,,11.7600002288818,3.02999997138977,0.0,26.0699996948242,22.3999996185303,8.32999992370605,17.8355919027466,11.4001828708594,0.259855632029323
ALBEMARLE COUNTY,2015-09-10,VIRGINIA,0,0,0.0,1,1,0,9,Fall,,16.0900001525879,0.0,0.0,36.1500015258789,25.6599998474121,0.0,21.9606737223121,6.15042348858597,0.0
ALBEMARLE COUNTY,2015-09-29,VIRGINIA,0,0,0.0,1,1,0,9,Fall,,65.3199996948242,1.08000004291534,0.0,101.120002746582,26.8600006103516,7.53000020980835,77.6212898232366,9.05983636640837,3.10141482121733
ALBEMARLE COUNTY,2016-06-04,VIRGINIA,0,0,0.0,1,1,0,6,Summer,,12.6800003051758,4.3899998664856,8.0,32.5400009155273,20.2299995422363,36.0400009155273,20.3566409910494,9.14598652304538,18.8146005691073
ALBEMARLE COUNTY,2016-06-05,VIRGINIA,0,0,0.0,1,1,0,6,Summer,,1.67999994754791,12.6800003051758,4.3899998664856,17.5699996948242,32.5400009155273,20.2299995422363,5.4754475532987,20.3566409910494,9.14598652304538
ALBEMARLE COUNTY,2017-07-05,VIRGINIA,0,0,0.0,1,1,0,7,Summer,,5.73000001907349,0.0,0.0,20.6200008392334,7.78999996185303,0.0,12.2931183942587,3.67684311856076,0.0
ALBEMARLE COUNTY,2018-05-30,VIRGINIA,0,2,20000.0,1,11,0,5,Spring,2011-04-16,48.8300018310547,0.0,1.42999994754791,98.3099975585938,0.0,11.9300003051758,75.5813475049839,0.0,7.00993262895377
ALBEMARLE COUNTY,2018-05-31,VIRGINIA,0,0,0.0,1,1,0,5,Spring,,7.44999980926514,48.8300018310547,0.0,33.2700004577637,98.3099975585938,0.0,19.7652550638583,75.5813475049839,0.0
ALBEMARLE COUNTY,2018-10-11,VIRGINIA,0,0,0.0,1,1,0,10,Fall,,42.8800010681152,0.150000005960464,3.72000002861023,77.7699966430664,11.0100002288818,13.2299995422363,54.2948027051792,4.87286813640331,6.87498556615299
ALBEMARLE COUNTY,2021-09-01,VIRGINIA,0,0,0.0,1,1,0,9,Fall,,12.539999961853,17.4099998474121,0.0,43.560001373291,45.8499984741211,23.7199993133545,24.4172088395413,29.8415880910012,5.88482194943165
ALBEMARLE COUNTY,2022-05-27,VIRGINIA,0,0,0.0,1,1,0,5,Spring,,19.7099990844727,0.0,0.0,38.1699981689453,19.0499992370605,6.0,25.554225211194,3.29637150545681,1.19830606327436
ALBEMARLE COUNTY,2022-07-08,VIRGINIA,0,0,0.0,1,3,0,7,Summer,,17.5900001525879,0.0,0.0,50.8199996948242,16.6499996185303,18.0799999237061,40.7731375928334,2.35147256519075,3.22249278540726
ALBEMARLE COUNTY,2024-08-09,VIRGINIA,0,0,0.0,1,3,0,8,Summer,,,,,,,,,,
ALBEMARLE COUNTY,2024-09-26,VIRGINIA,0,0,0.0,1,3,0,9,Fall,,,,,,,,,,
ALEXANDRIA,1999-08-26,VIRGINIA,0,0,10000.0,1,1,1,8,Summer,,33.5400009155273,37.9900016784668,15.8800001144409,39.4500007629395,42.5299987792969,18.3199996948242,36.6625999450684,40.1037997436523,16.9816000556946
ALEXANDRIA,2006-06-25,VIRGINIA,0,0,35000.0,1,1,1,6,Summer,1999-08-26,116.169998168945,7.51000022888184,3.66000008583069,132.520004272461,12.9099998474121,8.63000011444092,123.943799591064,9.69859997749329,6.1610000371933
ALEXANDRIA,2011-09-08,VIRGINIA,0,0,0.0,1,1,0,9,Fall,,34.1500015258789,85.5100021362305,19.0200004577637,115.690002441406,99.4899978637695,25.7099990844727,66.4761998748779,91.0749998474121,23.5460001373291
ALEXANDRIA,2015-06-20,VIRGINIA,0,0,50000.0,1,1,1,6,Summer,2006-06-25,60.9799995422363,0.0,8.77000045776367,77.9700012207031,4.21000003814697,16.5499992370605,68.9306002807617,2.6872000092268,12.5155999755859
ALEXANDRIA,2015-07-01,VIRGINIA,0,0,0.0,1,1,0,7,Summer,,8.88000011444092,16.1200008392334,0.0,17.2999992370605,24.7900009155273,0.0,13.5776000976562,18.8876001358032,0.0
ALEXANDRIA,2017-07-28,VIRGINIA,0,0,0.0,1,1,0,7,Summer,,69.1999969482422,0.0,0.0,85.370002746582,0.0,0.0,75.424400177002,0.0,0.0
