county,total_pop,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,state
District Of Columbia,672079,12.721867518550647,5.155792696989491,14.007281882040653,11.570068399697059,42.54351050992517,DC
Accomack County,33326,25.151533337334214,12.605773270119426,14.652223489167618,10.586328992378323,27.116965732461143,VA
Albemarle County,113683,19.893915537063588,3.806197936366915,6.281502071549836,7.3432263399101005,8.786713933,VA
Alleghany County,14962,25.77863922,7.392059885042107,12.805774629060286,1.503809651116161,5.534019516107472,VA
Amelia County,13342,20.783990406235947,10.523159946035078,11.002848148703343,1.888772298006296,20.311797331734372,VA
Amherst County,31385,21.389198661781105,8.134459137,10.485900908077108,2.835749561892624,17.511550103552654,VA
Appomattox County,16424,20.67705796395519,5.6320019483682415,12.219922065270335,2.2406234778373113,17.04213346322455,VA
Arlington County,235463,11.603096877216379,3.3657092621770723,7.0384731359067025,15.736655015862365,9.205692614,VA
Augusta County,77713,22.04650444584561,6.810958269530194,7.0194176006588345,3.7715697502348386,4.264408786174771,VA
Bath County,4123,27.358719379092893,12.151346107203493,20.397768615086104,3.7108901285471743,3.7593984962406015,VA
Bedford County,80254,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,VA
Bland County,6211,24.50491064240863,7.148607309611979,10.75511189824505,0.6601191434551602,4.636934471099662,VA
Botetourt County,33875,23.63099631,4.162361623616236,6.013284132841329,2.370479704797048,2.3616236162361623,VA
Brunswick County,15868,21.893118225359213,15.60373077892614,13.171162087219562,2.735064280312579,53.20771363750945,VA
Buchanan County,19857,23.472830739789494,17.172785415722416,22.586493428010275,1.0172735055647881,2.3568514881402023,VA
Buckingham County,16914,20.21402388553861,11.475700603050727,12.055102282133143,2.5659217216507035,31.93803949391037,VA
Campbell County,55398,20.740820968266004,6.845012455323297,9.958843279540778,3.361132170836492,14.33625762662912,VA
Caroline County,31541,16.36917028629403,7.384039821185124,11.08398592308424,7.038457880219397,23.499571985669448,VA
Carroll County,29158,25.643048220042527,11.132450785376227,16.07792029631662,3.868578091775842,0.33267027916866726,VA
Charles City County,6686,26.15913849835477,9.303021238408615,11.36703559676937,1.9892312294346395,40.338019742746035,VA
Charlotte County,11475,22.239651416122005,13.071895424836601,24.06971677559913,2.457516339869281,25.054466230936818,VA
Chesterfield County,371610,15.713785958397244,4.814186916,6.753854847824332,11.409811361373484,22.966012755307982,VA
Clarke County,15060,21.812749003984063,5.318725099601593,6.733067729083666,7.058432934926959,4.913678618857902,VA
Craig County,4881,19.237861094038106,9.157959434542102,13.357918459332105,0.7785289899610736,0.061462815,VA
Culpeper County,53563,16.56740661,7.9943244403786196,7.895375539084816,14.771390698803279,12.829751880962604,VA
Cumberland County,9745,23.263211903540277,8.527449974345819,7.675731144176501,1.7650076962544894,28.80451513596716,VA
Dickenson County,13920,24.224137931034484,13.670977011494253,19.511494252873565,0.7255747126436781,1.0129310344827587,VA
Dinwiddie County,28083,18.737314389488304,6.313428052558487,10.408432147562582,4.166221557525906,30.60570452,VA
Essex County,10604,23.64202188,10.39230479064504,15.352697095435685,4.347416069407771,37.35382874387024,VA
Fairfax County,1144474,14.530430573346358,4.643705317901499,5.878333627500494,17.40126905,9.601091855297717,VA
Fauquier County,73935,16.69709880300264,5.565699601000879,6.113478055048353,11.664299722729425,6.210860891,VA
Floyd County,15560,23.817480719794343,6.330334190231363,8.239074550128535,3.026992287917738,2.782776349614396,VA
Fluvanna County,27764,20.749891946405416,4.534649185996254,7.3008212073188306,4.365365221,12.64947413917303,VA
Franklin County,54958,24.23123112194767,6.877979548018486,11.243131118308526,3.6063903344372066,7.731358491939299,VA
Frederick County,93355,18.226126077874778,7.582882545123454,6.940174602,11.731562315890955,4.164747469337475,VA
Giles County,16610,22.034918723660446,6.429861529199277,8.838049367850692,1.6857314870559903,2.245635159542444,VA
Gloucester County,39228,20.32986642194351,6.457122463546447,6.676353624961762,4.043030488426634,8.137044967880085,VA
Goochland County,25613,23.874594932260962,3.7793308085737713,3.7090539960176474,3.6465857181899817,14.35599109827041,VA
Grayson County,15323,25.673823663773412,12.034196958820074,16.93532598055211,4.059257325588984,5.181752920446388,VA
Greene County,20850,18.66187050359712,7.074340527577938,11.62589928057554,6.9496402877697845,6.767386091127098,VA
Greensville County,11304,16.153573956121726,15.817409766454352,9.846072186836517,5.104387827317764,52.70700636942675,VA
Halifax County,33811,25.28762828665227,13.33885421904114,17.45289994380527,2.484398568513206,34.695809056224306,VA
Hanover County,111652,18.757389030200983,3.9488768674094508,5.072009457958657,3.7643750223910004,8.377816787876617,VA
Henrico County,334434,16.538689248102763,4.890352057506115,8.346041371391665,6.690109259226036,29.36782743381355,VA
Henry County,50365,24.413779410304777,12.329991065223865,14.523974982626823,6.685198054204308,22.334954829742877,VA
Highland County,2265,34.260485651214125,8.123620309050773,10.286975717439294,0,0,VA
Isle Of Wight County,39444,19.635432511915628,5.610485751952135,7.329378359,3.8510293073724773,21.833485447723355,VA
James City County,80046,26.363590935212255,3.5017365015116306,6.395072833120955,6.909776878294981,12.75641506133973,VA
King And Queen County,6676,23.60695026962253,7.804074296,18.454164170161775,3.115638106650689,23.846614739364888,VA
King George County,27468,13.914373088685016,5.970583952235328,6.422018348623853,6.593126547254988,15.428862676569098,VA
King William County,18232,16.50943396226415,4.497586660816148,7.848837209302325,3.098946906537955,15.291794646774902,VA
Lancaster County,10876,39.987127620448696,10.509378447958808,12.789628539904376,1.5814637734461199,27.583670467083486,VA
