STATE_NAME,NAME_LSAD,county,year,impervious
Virginia,Salem city,Salem,2020,33.03
Virginia,Poquoson city,Poquoson,2020,8.56
Virginia,Buena Vista city,Buena Vista,2020,17.26
Virginia,Cumberland County,Cumberland,2020,0.75
Maryland,Wicomico County,Wicomico,2020,4.96
Virginia,Giles County,Giles,2020,1.12
Virginia,Mathews County,Mathews,2020,1.58
Virginia,Scott County,Scott,2020,0.95
Virginia,Arlington County,Arlington,2020,42.12
Virginia,Alexandria city,Alexandria,2020,50.2
Virginia,Richmond County,Richmond,2020,37.2
Virginia,Richmond city,Richmond,2020,37.2
Virginia,Petersburg city,Petersburg,2020,25.93
Virginia,Norfolk city,Norfolk,2020,47.77
Virginia,Hopewell city,Hopewell,2020,36.07
Virginia,Roanoke city,Roanoke,2020,35.43
Virginia,Roanoke County,Roanoke,2020,35.43
Virginia,Colonial Heights city,Colonial Heights,2020,34.06
Maryland,Baltimore County,Baltimore,2020,51.8
Maryland,Baltimore city,Baltimore,2020,51.8
Virginia,Roanoke city,Roanoke,2020,5.2
Virginia,Roanoke County,Roanoke,2020,5.2
Virginia,Chesterfield County,Chesterfield,2020,10.53
Virginia,Sussex County,Sussex,2020,0.96
Virginia,Hampton city,Hampton,2020,32.68
Virginia,Portsmouth city,Portsmouth,2020,38.23
Virginia,Winchester city,Winchester,2020,42.99
Virginia,Wythe County,Wythe,2020,1.6
Virginia,Manassas Park city,Manassas Park,2020,34.66
Virginia,Chesapeake city,Chesapeake,2020,10.28
Virginia,Charlottesville city,Charlottesville,2020,33.48
Virginia,Williamsburg city,Williamsburg,2020,19.51
Virginia,Norton city,Norton,2020,14
Virginia,Radford city,Radford,2020,19.64
Virginia,Covington city,Covington,2020,23.43
Virginia,Staunton city,Staunton,2020,18.6
Virginia,Bland County,Bland,2020,0.53
Virginia,Bristol city,Bristol,2020,28.48
Virginia,Craig County,Craig,2020,0.39
Virginia,Waynesboro city,Waynesboro,2020,24.01
Virginia,Northampton County,Northampton,2020,1.43
Virginia,Madison County,Madison,2020,0.66
Virginia,Clarke County,Clarke,2020,1.59
Virginia,Lynchburg city,Lynchburg,2020,20.4
Virginia,Virginia Beach city,Virginia Beach,2020,17.25
Virginia,Fluvanna County,Fluvanna,2020,1.13
Virginia,Martinsville city,Martinsville,2020,21.97
Virginia,Manassas city,Manassas,2020,43.82
Virginia,Newport News city,Newport News,2020,32.64
Virginia,Smyth County,Smyth,2020,1.32
Virginia,Falls Church city,Falls Church,2020,37.41
Virginia,Suffolk city,Suffolk,2020,4
