state,county,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,impervious,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,population,population_density,Forest,Agriculture,Urban,Suburban,Rural,Median_Household_Income,road_density_km_per_km2
district of columbia,district of columbia,1996-06-20,1,1,30000.0,0,0,1,6,Summer,,,41.72,300610,51.44,12.721867518550647,5.155792696989491,14.007281882040653,11.57006839969706,42.54351050992517,11.4200000762939,32.189998626709,22.2104500198364,1.6599999666214,15.7399997711182,7.8605500036478,12.0799999237061,20.0599994659424,15.9722499656677,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,1996-09-06,1,1,50000.0,0,0,1,9,Fall,78.0,78.0,41.72,300610,51.44,12.721867518550647,5.155792696989491,14.007281882040653,11.57006839969706,42.54351050992517,21.9300003051758,38.4300003051758,30.9524999523163,1.46000003814697,6.3600001335144,3.42255000650883,33.7000007629395,46.4599990844727,38.9117998886108,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,1998-06-23,1,1,10000.0,0,0,1,6,Summer,655.0,655.0,41.72,300610,51.44,12.721867518550647,5.155792696989491,14.007281882040653,11.57006839969706,42.54351050992517,0.0,0.0,0.0,0.0,6.34000015258789,2.18020000293851,8.98999977111816,15.1400003433228,10.9486999845505,571744.0,3611.4058939166953,7.982,0.105,12.09,56.004,14.042,56519.0,12.3774276014038
district of columbia,district of columbia,2001-08-11,1,1,6000000.0,2,0,1,8,Summer,1145.0,1145.0,41.72,300610,51.44,12.721867518550647,5.155792696989491,14.007281882040653,11.57006839969706,42.54351050992517,0.0,0.0,0.0,11.9200000762939,23.5799999237061,17.1021500110626,43.689998626709,64.5400009155273,55.4959000015259,578042.0,3651.187044781221,7.959,0.104,12.121,56.142,13.944,56519.0,12.3774276014038
maryland,allegany county,1996-01-19,1,1,7000000.0,0,0,1,1,Winter,,,2.86,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415333,7.043770845016381,0.0,5.5,1.97207792766102,31.4899997711182,37.6199989318848,33.7048052007502,15.6400003433228,23.2000007629395,18.4475324308717,74804.0,68.40849737863968,77.519,9.07,0.395,4.695,5.773,36810.0,3.47182784427535
maryland,allegany county,1996-06-11,1,1,50000.0,0,0,1,6,Summer,144.0,144.0,2.86,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415333,7.043770845016381,7.94000005722046,18.8500003814697,11.7912986619132,1.23000001907349,13.789999961853,6.27623372263723,21.2399997711182,32.439998626709,25.6045455189494,74804.0,68.40849737863968,77.519,9.07,0.395,4.695,5.773,36810.0,3.47182784427535
maryland,allegany county,1996-09-06,1,1,250000.0,0,0,1,9,Fall,87.0,87.0,2.86,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415333,7.043770845016381,1.78999996185303,12.4099998474121,5.63753244938788,0.0,0.0,0.0,133.059997558594,146.289993286133,138.217013470538,74804.0,68.40849737863968,77.519,9.07,0.395,4.695,5.773,36810.0,3.47182784427535
maryland,allegany county,1998-05-04,1,1,100000.0,0,0,1,5,Spring,605.0,605.0,2.86,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415333,7.043770845016381,2.46000003814697,3.0699999332428,2.72402596164059,1.64999997615814,5.53999996185303,3.47805193647162,14.0799999237061,20.0599994659424,16.4345454302701,74804.0,68.40849737863968,77.457,9.086,0.396,4.711,5.869,36810.0,3.47182784427535
maryland,allegany county,1999-05-07,1,1,15000.0,0,0,1,5,Spring,368.0,368.0,2.86,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415333,7.043770845016381,0.0,0.0,0.0,0.0,0.540000021457672,0.0124675327694261,17.2999992370605,21.0900001525879,19.2227272925439,74804.0,68.40849737863968,77.438,9.079,0.408,4.758,5.858,36810.0,3.47182784427535
maryland,allegany county,2000-08-06,1,1,250000.0,0,0,1,8,Summer,457.0,457.0,2.86,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415333,7.043770845016381,0.0,0.0,0.0,0.0,0.0,0.0,60.7999992370605,77.120002746582,67.9703895767014,74804.0,68.40849737863968,77.371,9.078,0.408,4.772,5.869,36810.0,3.47182784427535
maryland,allegany county,2000-09-11,1,1,2000000.0,0,0,1,9,Fall,36.0,36.0,2.86,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415333,7.043770845016381,0.0,0.0,0.0,4.1100001335144,9.38000011444092,6.44909090190739,23.9400005340576,29.9300003051758,27.4953246178565,74804.0,68.40849737863968,77.371,9.078,0.408,4.772,5.869,36810.0,3.47182784427535
maryland,allegany county,2001-06-07,1,1,150000.0,0,0,1,6,Summer,269.0,269.0,2.86,4277,5.73,20.955697883769663,7.268085357575042,15.555916295268736,1.8594492488415333,7.043770845016381,1.60000002384186,3.32999992370605,2.30389609429743,40.4799995422363,43.6500015258789,42.1797402121804,7.26000022888184,13.539999961853,9.51285721419694,74314.0,67.96039081060142,77.32,9.082,0.408,4.776,5.893,36810.0,3.47182784427535
