county,total_pop,median_income,area_km2,pop_density,state
Washington County,54322,40422,1478.9012762428265,36.731322687073444,VA
Westmoreland County,17237,52990,639.2961248954479,26.96246595084396,VA
Wise County,41496,33608,1060.7882513272102,39.11808030309733,VA
Colonial Heights City,17472,50571,20.32106010506572,859.7976635896326,VA
Falls Church City,11465,114409,5.195743613339296,2206.6138849818003,VA
Lexington City,6990,31571,6.476919767085591,1079.2167035203647,VA
Norton City,3886,33944,19.720054684494908,197.05827707746707,VA
Staunton City,23806,42724,51.91467378167462,458.5601385094957,VA
Winchester City,25953,44873,23.978440205658643,1082.3472993825255,VA
Lee County,25434,31352,1146.2320647932972,22.189223963636522,VA
Arlington County,197467,94880,67.12924216196578,2941.594357993233,VA
Lancaster County,11478,45209,383.67850377504004,29.915671290070055,VA
Louisa County,32248,54257,1324.299599254217,24.350985243943708,VA
Mathews County,9004,47435,267.5868298645267,33.64889073,VA
Middlesex County,10831,50207,365.7993870622991,29.609125611124597,VA
Northampton County,12572,35760,915.4333163335925,13.733386993552072,VA
Northumberland County,12419,51944,561.3887231879463,22.121926371225424,VA
Nottoway County,15819,37344,819.43110864360915,19.30485654393196,VA
Powhatan County,27758,73593,680.0206691692822,40.81934749705381,VA
Prince George County,35129,64171,730.1812065467589,48.10997555817048,VA
Pulaski County,34963,41163,858.4708439091262,40.72706749,VA
Rappahannock County,7376,62117,692.1795153598163,10.656195157936345,VA
Richmond County,9328,42182,532.2498230126076,17.52560470044354,VA
Scott County,23234,34250,1409.881940716284,16.479394003866787,VA
Smyth County,32383,34864,1180.131607298814,27.440159893794366,VA
Surry County,7039,55030,736.1052355,9.562491421939724,VA
Sussex County,12167,37978,1276.7066518878205,9.529988726861486,VA
Warren County,37044,60522,561.9709334985544,65.91800001004019,VA
Wythe County,29005,38948,1211.3225334999934,23.944902532435353,VA
York County,64846,81055,325.8507159383219,199.00524021642556,VA
Alexandria City,133647,80847,40.36730750907325,3310.773203537554,VA
Bedford City,6177,32262,17.914398362673907,344.8064442326055,VA
Bristol City,17704,32079,34.458528947087395,513.7770108290252,VA
Buena Vista City,6653,39955,17.617765420074395,377.63018415600555,VA
Charlottesville City,42267,42240,26.572882889284823,1590.6064906884314,VA
Chesapeake City,219268,67855,908.2671686677236,241.4135483082908,VA
Covington City,5989,35277,14.73268961318755,406.51097370836595,VA
Danville City,43787,29936,114.15205725978477,383.5848520920696,VA
Emporia City,5822,32788,17.978399660553208,323.83305021159225,VA
Fairfax City,22058,97900,16.256957103475152,1356.8344838213784,VA
Franklin City,8549,33174,21.62073917778788,395.40738777251596,VA
Fredericksburg City,23375,43558,27.17012296881664,860.3199929138219,VA
Galax City,6936,22333,21.532733029233682,322.1142430263457,VA
Hampton City,139046,49815,152.65171839313493,910.8708468115954,VA
Harrisonburg City,47406,37235,45.30024333257021,1046.4844449503382,VA
Hopewell City,22506,37789,27.998595339001028,803.8260393959821,VA
Lynchburg City,73726,37058,128.9931875732177,571.5495630972949,VA
Manassas City,36067,75173,25.733040332391806,1401.5833160063946,VA
Manassas Park City,13195,70299,6.545371315,2015.928412,VA
Martinsville City,14029,32408,28.624187864797488,490.1099750415313,VA
Newport News City,181822,49562,186.01347495485334,977.4668208533245,VA
Norfolk City,242143,42677,165.83087410490148,1460.180447742348,VA
Petersburg City,32303,36449,60.06880017102024,537.7666926596005,VA
Poquoson City,12099,84315,53.61114894315925,225.68066975822245,VA
Portsmouth City,96785,45488,105.2526377826945,919.5494007458809,VA
Radford City,16318,29155,26.608365746941885,613.2657734485417,VA
Richmond City,201828,38266,161.7772180217537,1247.5675034346357,VA
Roanoke City,95793,36422,111.51151573315363,859.0413229538738,VA
Salem City,24641,48828,37.843767562290594,651.1243881688332,VA
Suffolk City,82544,65104,1080.8180943864522,76.3717784,VA
Virginia Beach City,435996,64618,793.3192745540438,549.5845291860463,VA
Waynesboro City,20885,40977,39.45419389980766,529.3480347,VA
Williamsburg City,13421,50794,23.74296286747235,565.2622242183031,VA
Prince William County,379415,91098,892.2599136037481,425.22923445880355,VA
Appomattox County,14653,49224,868.2268595368045,16.87692547062794,VA
Allegany County,74638,37747,1118.2643212645708,66.74450626806805,MD
Anne Arundel County,527020,83456,1175.8021063671024,448.2216838583012,MD
Baltimore County,799195,63959,1635.2891165930628,488.71786150269935,MD
Calvert County,87891,90838,624.8656315715604,140.65583952657286,MD
Caroline County,32805,58799,843.8776917727594,38.87411685345722,MD
Carroll County,167208,81621,1172.9308802696837,142.5557148,MD
Cecil County,100139,64886,984.6402790802116,101.70110052124161,MD
Charles County,143912,88825,1266.0724058823016,113.6680645841187,MD
Dorchester County,32287,45151,1680.0828206966075,19.217504995743568,MD
Frederick County,229205,81686,1729.167668966356,132.55221232363883,MD
Garrett County,30145,45760,1704.6537939580942,17.683942690794293,MD
Harford County,242888,77010,1201.5624276241247,202.14347121378262,MD
Howard County,279366,103273,656.0548422037447,425.82720533177616,MD
Kent County,20018,50141,782.9392481993494,25.567756433259152,MD
Montgomery County,947230,93373,1313.5741326453453,721.1089016288848,MD
Prince George's County,854722,71260,1291.342451062321,661.8863952756019,MD
Queen Anne's County,46945,81096,1034.8918174601813,45.36222937312601,MD
St. Mary's County,102086,80053,1070.226297859975,95.38730285747157,MD
Somerset County,26411,42443,959.9303811137592,27.513453599996115,MD
Talbot County,37361,63017,847.4004254912794,44.088955912831885,MD
Washington County,146329,52994,1211.4022381856682,120.7930738341368,MD
Wicomico County,96951,50752,1002.1297596504677,96.74495649527012,MD
Worcester County,51133,55487,1513.8640751940648,33.77648022557453,MD
Baltimore City,620538,39386,238.04353974079268,2606.8256281002555,MD
