county,total_pop,median_income,area_km2,pop_density,state
District Of Columbia,584400,58526,176.9840661,3301.992167562782,DC
Bland County,6873,41552,935.2632249041354,7.348733294527306,VA
Brunswick County,17707,35184,1475.9978806440233,11.996629691821706,VA
Carroll County,29985,36142,1244.2051261583624,24.09972388763773,VA
Clarke County,14013,73244,462.46408909110596,30.300731084958734,VA
Craig County,5173,51291,860.0334179216688,6.014882552,VA
Cumberland County,9855,40143,777.3216054,12.678150114217809,VA
Fluvanna County,25308,68223,752.1730166258999,33.64651408731292,VA
Giles County,17205,41186,938.5603996942023,18.33126563362961,VA
Goochland County,21136,79574,751.6289862515357,28.120256651367022,VA
Grayson County,15855,32178,1162.5890905948015,13.637664526757511,VA
Greene County,18082,54307,407.116918,44.41475949209472,VA
Henry County,54860,34086,999.3993310938091,54.892972501750194,VA
King George County,22794,76241,484.9142816,47.00624598006611,VA
Accomack County,34066,41372,1552.3074189889496,21.945395340690894,VA
Albemarle County,96633,64847,1883.6234165416747,51.30165570855868,VA
Alleghany County,16406,43160,1167.077822849537,14.057331635300134,VA
Amelia County,12517,50135,929.5190615006579,13.466103621147893,VA
Amherst County,32315,44757,1243.2396883124352,25.992574323189565,VA
Augusta County,73201,50612,2520.698881,29.039962106660692,VA
Bath County,4779,50589,1389.246566221938,3.4399941062992947,VA
Bedford County,67697,54110,1998.5127482180599,33.87368935242514,VA
Botetourt County,32867,64724,1419.2940683301595,23.157286945241008,VA
Buchanan County,24459,29183,1316.2458357549842,18.582394971810555,VA
Buckingham County,16874,34720,1514.2864474884334,11.14320215173747,VA
Campbell County,54174,43478,1317.282775972761,41.12556619439182,VA
Caroline County,27844,57690,1390.860332010243,20.01926388,VA
Charles City County,7205,46337,522.7302503582129,13.783399745973394,VA
Charlotte County,12644,34881,1238.976142862346,10.205200538235696,VA
Chesterfield County,308633,71321,1132.1236498492701,272.6142149235122,VA
Culpeper County,45749,65132,991.8163297834293,46.12648393275562,VA
Dickenson County,15966,29080,872.7399680319669,18.294108881026055,VA
Dinwiddie County,27449,51459,1314.069322177811,20.888547915043546,VA
Essex County,10901,46235,715.3571093871668,15.238542899697586,VA
Fairfax County,1048554,105416,1046.079431584326,1002.3655645460176,VA
Fauquier County,64546,83877,1687.7249870339576,38.24438252433203,VA
Floyd County,15030,42044,992.1255900030878,15.149291734278542,VA
Franklin County,54938,45555,1850.0137596318048,29.695995348128612,VA
Frederick County,75835,61973,1077.1155346575295,70.40563204,VA
Gloucester County,36610,59331,657.6848513974065,55.66495856216457,VA
Greensville County,12181,38574,768.9025773935275,15.842059004785614,VA
Halifax County,36311,34705,2154.1121409043512,16.856596882999654,VA
Hanover County,99172,76425,1227.4943192462554,80.79222725926479,VA
Henrico County,300053,60114,634.5628872815039,472.84990347519476,VA
Highland County,2395,43481,1080.4807686736783,2.216605856798296,VA
Isle Of Wight County,34762,62242,840.2732128228018,41.36987764160782,VA
James City County,64386,73903,408.29811282405257,157.6936018,VA
King And Queen County,6926,44442,844.9812964722848,8.196631131263354,VA
King William County,15509,64946,739.8354502581901,20.96276948419763,VA
Loudoun County,291653,115574,1349.961828,216.0453680539653,VA
Lunenburg County,12968,37424,1121.186853261721,11.56631471576206,VA
Madison County,13342,56608,834.6234303,15.98565234921444,VA
Mecklenburg County,32774,36431,1761.978991477691,18.60067580744192,VA
Montgomery County,92527,43229,1013.1206379590723,91.32870907298394,VA
Nelson County,14989,48118,1231.069756881966,12.175589495402683,VA
New Kent County,17655,70590,578.6264499571566,30.51191317180062,VA
Orange County,32730,54916,889.7123867236193,36.78716907665945,VA
Page County,24116,41617,814.5664078447081,29.60593484797566,VA
Patrick County,18643,35813,1264.5663377980645,14.742603407000587,VA
Pittsylvania County,63147,39224,2541.2282784446584,24.849007283457706,VA
Prince Edward County,22723,36191,917.7305389499854,24.75999112549785,VA
Roanoke County,91583,59446,653.4128388796477,140.1610047286945,VA
Rockbridge County,22217,44417,1561.1790142423072,14.230911251892953,VA
Rockingham County,74922,49930,2215.0774805680658,33.82364755059762,VA
Russell County,28842,32780,1245.7790621950355,23.151777771237402,VA
Shenandoah County,41468,50171,1328.8447716572798,31.206052719222306,VA
Southampton County,18493,45426,1560.2343173622683,11.852706862174562,VA
Spotsylvania County,120212,76574,1073.6992629662827,111.96058723919884,VA
Stafford County,124587,93065,722.0692911673618,172.54161272885807,VA
Tazewell County,44706,35215,1356.2532402789489,32.96287055565305,VA
