state,county,year,Date,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,population,population_density,Forest,Agriculture,Urban,Suburban,Rural,Median_Household_Income,road_density_km_per_km2
district of columbia,district of columbia,2009,1996-01-19,0.0,0.0,0.0,2.44000005722046,7.6100001335144,5.27569999098778,19.3600006103516,25.4699993133545,22.2194499778748,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-01-19,0.0,0.0,0.0,2.44000005722046,7.6100001335144,5.27569999098778,19.3600006103516,25.4699993133545,22.2194499778748,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-06-18,0.0,0.0,0.0,7.26999998092651,25.8799991607666,18.0039500141144,11.4200000762939,32.189998626709,22.2104500198364,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-06-18,0.0,0.0,0.0,7.26999998092651,25.8799991607666,18.0039500141144,11.4200000762939,32.189998626709,22.2104500198364,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-06-20,11.4200000762939,32.189998626709,22.2104500198364,1.6599999666214,15.7399997711182,7.8605500036478,12.0799999237061,20.0599994659424,15.9722499656677,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-06-20,11.4200000762939,32.189998626709,22.2104500198364,1.6599999666214,15.7399997711182,7.8605500036478,12.0799999237061,20.0599994659424,15.9722499656677,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-09-06,21.9300003051758,38.4300003051758,30.9524999523163,1.46000003814697,6.3600001335144,3.42255000650883,33.7000007629395,46.4599990844727,38.9117998886108,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-09-06,21.9300003051758,38.4300003051758,30.9524999523163,1.46000003814697,6.3600001335144,3.42255000650883,33.7000007629395,46.4599990844727,38.9117998886108,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-11-08,0.0,0.0,0.0,0.0,0.0,0.0,45.7799987792969,55.4199981689453,50.9654499816895,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1996-11-08,0.0,0.0,0.0,0.0,0.0,0.0,45.7799987792969,55.4199981689453,50.9654499816895,571744.0,3611.4058939166953,7.981,0.114,12.087,55.986,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1997-05-25,0.0,0.0,0.0,0.0,0.0,0.0,44.4099998474121,62.9900016784668,54.1640999412537,571744.0,3611.4058939166953,7.989,0.104,12.089,55.997,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1997-05-25,0.0,0.0,0.0,0.0,0.0,0.0,44.4099998474121,62.9900016784668,54.1640999412537,571744.0,3611.4058939166953,7.989,0.104,12.089,55.997,14.052,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1998-06-23,0.0,0.0,0.0,0.0,6.34000015258789,2.18020000293851,8.98999977111816,15.1400003433228,10.9486999845505,571744.0,3611.4058939166953,7.982,0.105,12.09,56.004,14.042,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1998-06-23,0.0,0.0,0.0,0.0,6.34000015258789,2.18020000293851,8.98999977111816,15.1400003433228,10.9486999845505,571744.0,3611.4058939166953,7.982,0.105,12.09,56.004,14.042,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1998-03-09,3.26999998092651,4.94999980926514,4.25705000638962,24.8600006103516,32.6399993896484,29.6427000713348,19.0200004577637,25.5499992370605,21.6678000354767,571744.0,3611.4058939166953,7.982,0.105,12.09,56.004,14.042,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1998-03-09,3.26999998092651,4.94999980926514,4.25705000638962,24.8600006103516,32.6399993896484,29.6427000713348,19.0200004577637,25.5499992370605,21.6678000354767,571744.0,3611.4058939166953,7.982,0.105,12.09,56.004,14.042,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1998-02-04,0.0,0.0,0.0,0.0,21.5699996948242,12.5279499959946,36.3699989318848,48.5400009155273,42.4742500114441,571744.0,3611.4058939166953,7.982,0.105,12.09,56.004,14.042,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1998-02-04,0.0,0.0,0.0,0.0,21.5699996948242,12.5279499959946,36.3699989318848,48.5400009155273,42.4742500114441,571744.0,3611.4058939166953,7.982,0.105,12.09,56.004,14.042,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1999-08-25,4.46000003814697,10.789999961853,7.70929997682571,16.9099998474121,21.2099990844727,18.5468999481201,32.4700012207031,41.7999992370605,36.6050500297546,571744.0,3611.4058939166953,7.971,0.104,12.118,56.054,13.951,56519.0,12.3774276014038
district of columbia,district of columbia,2009,1999-08-25,4.46000003814697,10.789999961853,7.70929997682571,16.9099998474121,21.2099990844727,18.5468999481201,32.4700012207031,41.7999992370605,36.6050500297546,571744.0,3611.4058939166953,7.971,0.104,12.118,56.054,13.951,56519.0,12.3774276014038
