"","State","County","Year","Forest","Agriculture","Urban","Suburban","Rural"
"75","VIRGINIA","LUNENBURG County",1996,71.272,15.494,0.036,0.981,4.139
"76","VIRGINIA","SUFFOLK",1996,55.109,26.2,0.257,4.586,4.409
"77","VIRGINIA","ALEXANDRIA",1996,2.357,0,16.836,63.654,14.976
"78","VIRGINIA","HENRICO County",1996,40.241,10.115,1.83,24.944,16.992
"79","VIRGINIA","RICHMOND City",1996,10.196,0.062,10.578,53.317,21.962
"80","VIRGINIA","NORTHAMPTON County",1996,14.556,23.254,0.051,2.415,1.338
"81","VIRGINIA","MATHEWS County",1996,56.43,10.419,0.032,2.186,4.298
"82","VIRGINIA","HAMPTON",1996,12.682,0.489,6.371,49.165,12.062
"83","VIRGINIA","FRANKLIN City",1996,36.022,19.544,2.482,26.75,11.779
"84","VIRGINIA","WESTMORELAND County",1996,55.15,27.793,0.046,2.382,4.674
"85","VIRGINIA","LANCASTER County",1996,56.479,20.658,0.063,2.095,6.015
"86","VIRGINIA","MIDDLESEX County",1996,57.116,22.122,0.066,2.904,4.895
"87","VIRGINIA","BRUNSWICK County",1996,70.892,11.188,0.018,1.342,3.835
"88","VIRGINIA","PETERSBURG",1996,31.907,6.632,4.664,40.956,12.626
"89","VIRGINIA","ESSEX County",1996,60.078,24.766,0.069,1.417,3.201
"90","VIRGINIA","CAROLINE County",1996,72.327,13.96,0.041,1.569,4.275
"91","VIRGINIA","ISLE OF WIGHT County",1996,52.687,31.743,0.149,3.024,4.272
"92","VIRGINIA","EMPORIA",1996,35.65,10.418,3.53,32.817,14.3
"93","VIRGINIA","COLONIAL HEIGHTS",1996,21.796,0,5.481,55.723,10.967
"94","VIRGINIA","CHESTERFIELD County",1996,60.511,4.002,0.725,11.791,15.507
"95","VIRGINIA","NEW KENT County",1996,68.246,9.834,0.01,1.738,4.832
"96","VIRGINIA","AMELIA County",1996,68.858,19.654,0.016,0.837,3.799
"97","VIRGINIA","SURRY County",1996,65.825,21.434,0.05,0.886,3.148
"98","VIRGINIA","WILLIAMSBURG",1996,43.098,0.373,1.603,27.163,25.169
"99","VIRGINIA","YORK County",1996,49.613,2.768,0.693,13.098,11.616
"100","VIRGINIA","SUSSEX County",1996,69.363,16.837,0.022,1.5,2.591
"101","VIRGINIA","POQUOSON",1996,14.031,0.072,0.19,16.175,8.054
"102","VIRGINIA","MECKLENBURG County",1996,58.298,20.29,0.077,1.919,4.721
"103","VIRGINIA","MARTINSVILLE",1996,30.359,0.765,5.208,34.3,28.829
"104","VIRGINIA","NEWPORT NEWS",1996,21.258,1.061,7.513,44.465,15.28
"105","VIRGINIA","NOTTOWAY County",1996,67.013,17.039,0.186,2.742,4.975
"106","VIRGINIA","GREENSVILLE County",1996,67.44,18.958,0.036,1.903,2.679
"107","VIRGINIA","NORTHUMBERLAND County",1996,51.037,27.373,0.033,1.767,5.598
"108","VIRGINIA","RICHMOND County",1996,60.473,25.53,0.036,1.404,3.666
"109","VIRGINIA","PRINCE GEORGE County",1996,64.05,14.862,0.146,4.213,4.247
"110","VIRGINIA","JAMES CITY County",1996,55.997,7.672,0.348,6.981,11.208
"111","VIRGINIA","GLOUCESTER County",1996,57.921,11.571,0.073,3.043,4.948
"112","VIRGINIA","WAYNESBORO",1996,21.77,21.122,4.948,33.917,18.095
"113","VIRGINIA","HARRISONBURG",1996,8.969,20.242,7.248,44.245,19.112
"114","VIRGINIA","STAUNTON",1996,18.294,31.713,2.397,28.063,19.287
"115","VIRGINIA","LYNCHBURG",1996,37.651,6.203,3.354,27.582,24.176
"116","VIRGINIA","FREDERICKSBURG",1996,31.502,6.734,3.706,41.092,15.438
"117","VIRGINIA","FALLS CHURCH",1996,0.392,0,9.801,55.848,33.959
"118","VIRGINIA","MANASSAS City",1996,5.889,4.41,6.506,61.745,21.314
"119","VIRGINIA","MANASSAS PARK",1996,29.953,2.29,4.122,40.846,22.713
