county,total_pop,median_income,area_km2,pop_density,state
Radford City,17833,34576,26.044034782381797,684.7249341,VA
Covington City,5653,41024,14.768137737248361,382.78353713765415,VA
Staunton City,24660,52292,51.811608176712795,475.9551163880619,VA
Bland County,6334,50365,935.1028138963496,6.773586717815272,VA
Bristol City,17059,39679,33.954074661237456,502.41392734742504,VA
Craig County,5103,57792,856.2453920762662,5.959740101638379,VA
Waynesboro City,22300,43480,39.17164023530816,569.2894110647794,VA
Northampton County,11826,50819,890.2050395655289,13.284579927531938,VA
Madison County,13208,63482,834.5985280433422,15.825573082383972,VA
Clarke County,14498,86154,461.73951992479704,31.39865524692639,VA
Lynchburg City,80970,49201,128.64680991243904,629.3976512523759,VA
Virginia Beach City,450882,78136,793.9730792251567,567.8807150993313,VA
Fluvanna County,26873,78885,755.4245805650856,35.5733725,VA
Martinsville City,12646,36166,28.634131071162567,441.6407806673689,VA
Manassas City,41038,86227,25.63854017829241,1600.6371546358937,VA
Newport News City,179582,54511,181.64253783159958,988.6560832269922,VA
Smyth County,30539,41088,1181.3981599301078,25.849879435910672,VA
Falls Church City,14309,146922,5.319944809850029,2689.689557212413,VA
Suffolk City,91383,79899,1078.1407814131644,84.75980277846504,VA
Talbot County,37087,73102,795.7701303755056,46.60516722649479,MD
Prince George's County,910551,86994,1291.7605810512416,704.8914584922453,MD
Queen Anne's County,50163,96467,1022.604764645103,49.05414265051773,MD
Garrett County,29155,54542,1708.0566389106864,17.069106103292693,MD
Somerset County,25699,44980,902.562898,28.473361862805305,MD
St. Mary's County,113182,95864,1040.9391675725028,108.73065739657329,MD
Allegany County,71002,49449,1109.9443893900147,63.96897058871583,MD
Anne Arundel County,575421,103225,1163.5864532684634,494.5236328453873,MD
Kent County,19456,60208,780.6181274275563,24.92383832299049,MD
Carroll County,168233,99569,1172.783742354115,143.44758877907694,MD
Worcester County,51967,65396,1512.4587327043228,34.359284571739295,MD
Charles County,161448,103678,1254.3435520678456,128.71114913760684,MD
Harford County,253736,94003,1168.2825888035666,217.18717922506232,MD
Cecil County,102889,79415,975.0047293518829,105.52666761769827,MD
Baltimore County,828193,78724,1608.4532902954213,514.9002492002037,MD
Washington County,150575,63510,1211.3454517230368,124.30392980451592,MD
Calvert County,92094,112696,615.3634933847804,149.65788674502107,MD
Caroline County,33260,59042,843.8769979427486,39.41332691977992,MD
Howard County,322407,124042,656.1262800766733,491.37949475568075,MD
Montgomery County,1047661,111812,1313.0871987326093,797.8609501419263,MD
Dorchester County,31994,52799,1549.290317922935,20.650745460600916,MD
Frederick County,255955,100685,1729.3946264068413,148.00265716784205,MD
Wicomico County,103222,60366,995.1192859401535,103.72826801610975,MD
Baltimore City,602274,52164,223.73580507724694,2691.8981510002795,MD
