Year,State,County,Median_Household_Income
2009,Virginia,"Caroline County, Virginia",56829.0
2009,Virginia,"Carroll County, Virginia",34794.0
2009,Virginia,"Charles City County, Virginia",49747.0
2009,Virginia,"Charlotte County, Virginia",37591.0
2009,Virginia,"Chesterfield County, Virginia",71661.0
2009,Virginia,"Clarke County, Virginia",68768.0
2009,Virginia,"Westmoreland County, Virginia",50151.0
2009,Virginia,"Wise County, Virginia",32324.0
2009,Virginia,"Wythe County, Virginia",38490.0
2009,Virginia,"York County, Virginia",79189.0
2009,Virginia,"Alexandria city, Virginia",80186.0
2009,Virginia,"Bedford city, Virginia",31796.0
2009,Virginia,"Bristol city, Virginia",31797.0
2009,Virginia,"Buena Vista city, Virginia",40913.0
2009,Virginia,"Charlottesville city, Virginia",38369.0
2009,Virginia,"Chesapeake city, Virginia",66932.0
2009,Virginia,"Colonial Heights city, Virginia",49734.0
2009,Virginia,"Covington city, Virginia",35758.0
2009,Virginia,"Danville city, Virginia",29482.0
2009,Virginia,"Emporia city, Virginia",33412.0
2009,Virginia,"Fairfax city, Virginia",96232.0
2009,Virginia,"Falls Church city, Virginia",113313.0
2009,Virginia,"Franklin city, Virginia",32060.0
2009,Virginia,"Fredericksburg city, Virginia",43154.0
2009,Virginia,"Galax city, Virginia",22105.0
2009,Virginia,"Hampton city, Virginia",48122.0
2009,Virginia,"Harrisonburg city, Virginia",33587.0
2009,Virginia,"Hopewell city, Virginia",38892.0
2009,Virginia,"Lexington city, Virginia",32847.0
2009,Virginia,"Lynchburg city, Virginia",37281.0
2009,Virginia,"Manassas city, Virginia",72150.0
2009,Virginia,"Manassas Park city, Virginia",69087.0
2009,Virginia,"Martinsville city, Virginia",31729.0
2009,Virginia,"Newport News city, Virginia",48124.0
2009,Virginia,"Norfolk city, Virginia",41739.0
2009,Virginia,"Norton city, Virginia",32500.0
2009,Virginia,"Petersburg city, Virginia",35874.0
2009,Virginia,"Poquoson city, Virginia",84688.0
2009,Virginia,"Portsmouth city, Virginia",44410.0
2009,Virginia,"Radford city, Virginia",29589.0
2009,Virginia,"Richmond city, Virginia",37735.0
2009,Virginia,"Roanoke city, Virginia",35811.0
2009,Virginia,"Salem city, Virginia",47746.0
2009,Virginia,"Staunton city, Virginia",42713.0
2009,Virginia,"Suffolk city, Virginia",63657.0
2009,Virginia,"Virginia Beach city, Virginia",63370.0
2009,Virginia,"Waynesboro city, Virginia",40809.0
2009,Virginia,"Williamsburg city, Virginia",41236.0
2009,Virginia,"Winchester city, Virginia",44708.0
2009,District of Columbia,"District of Columbia, District of Columbia",56519.0
2010,Maryland,"Allegany County, Maryland",37747.0
2010,Maryland,"Anne Arundel County, Maryland",83456.0
2010,Maryland,"Baltimore County, Maryland",63959.0
2010,Maryland,"Calvert County, Maryland",90838.0
2010,Maryland,"Caroline County, Maryland",58799.0
2010,Maryland,"Carroll County, Maryland",81621.0
2010,Maryland,"Cecil County, Maryland",64886.0
2010,Maryland,"Charles County, Maryland",88825.0
2010,Maryland,"Dorchester County, Maryland",45151.0
2010,Maryland,"Frederick County, Maryland",81686.0
2010,Maryland,"Garrett County, Maryland",45760.0
2010,Maryland,"Harford County, Maryland",77010.0
2010,Maryland,"Howard County, Maryland",103273.0
2010,Maryland,"Kent County, Maryland",50141.0
2010,Maryland,"Montgomery County, Maryland",93373.0
2010,Maryland,"Prince George's County, Maryland",71260.0
2010,Maryland,"Queen Anne's County, Maryland",81096.0
2010,Maryland,"St. Mary's County, Maryland",80053.0
2010,Maryland,"Somerset County, Maryland",42443.0
2010,Maryland,"Talbot County, Maryland",63017.0
2010,Maryland,"Washington County, Maryland",52994.0
2010,Maryland,"Wicomico County, Maryland",50752.0
2010,Maryland,"Worcester County, Maryland",55487.0
2010,Maryland,"Baltimore city, Maryland",39386.0
2010,Virginia,"Accomack County, Virginia",41372.0
2010,Virginia,"Albemarle County, Virginia",64847.0
2010,Virginia,"Alleghany County, Virginia",43160.0
2010,Virginia,"Amelia County, Virginia",50135.0
2010,Virginia,"Amherst County, Virginia",44757.0
2010,Virginia,"Appomattox County, Virginia",49224.0
2010,Virginia,"Arlington County, Virginia",94880.0
2010,Virginia,"Augusta County, Virginia",50612.0
2010,Virginia,"Bath County, Virginia",50589.0
2010,Virginia,"Bedford County, Virginia",54110.0
2010,Virginia,"Bland County, Virginia",41552.0
2010,Virginia,"Botetourt County, Virginia",64724.0
2010,Virginia,"Brunswick County, Virginia",35184.0
2010,Virginia,"Buchanan County, Virginia",29183.0
2010,Virginia,"Buckingham County, Virginia",34720.0
2010,Virginia,"Campbell County, Virginia",43478.0
2010,Virginia,"Caroline County, Virginia",57690.0
2010,Virginia,"Carroll County, Virginia",36142.0
2010,Virginia,"Charles City County, Virginia",46337.0
2010,Virginia,"Charlotte County, Virginia",34881.0
2010,Virginia,"Chesterfield County, Virginia",71321.0
2010,Virginia,"Clarke County, Virginia",73244.0
2010,Virginia,"Craig County, Virginia",51291.0
2010,Virginia,"Culpeper County, Virginia",65132.0
2010,Virginia,"Cumberland County, Virginia",40143.0
2010,Virginia,"Dickenson County, Virginia",29080.0
2010,Virginia,"Dinwiddie County, Virginia",51459.0
2010,Virginia,"Essex County, Virginia",46235.0
2010,Virginia,"Fairfax County, Virginia",105416.0
2010,Virginia,"Fauquier County, Virginia",83877.0
2010,Virginia,"Floyd County, Virginia",42044.0
2010,Virginia,"Fluvanna County, Virginia",68223.0
2010,Virginia,"Franklin County, Virginia",45555.0
2010,Virginia,"Frederick County, Virginia",61973.0
2010,Virginia,"Giles County, Virginia",41186.0
2010,Virginia,"Gloucester County, Virginia",59331.0
2010,Virginia,"Goochland County, Virginia",79574.0
2010,Virginia,"Grayson County, Virginia",32178.0
2010,Virginia,"Greene County, Virginia",54307.0
2010,Virginia,"Greensville County, Virginia",38574.0
2010,Virginia,"Halifax County, Virginia",34705.0
2010,Virginia,"Hanover County, Virginia",76425.0
2010,Virginia,"Henrico County, Virginia",60114.0
2010,Virginia,"Henry County, Virginia",34086.0
2010,Virginia,"Highland County, Virginia",43481.0
2010,Virginia,"Isle of Wight County, Virginia",62242.0
2010,Virginia,"James City County, Virginia",73903.0
2010,Virginia,"King and Queen County, Virginia",44442.0
2010,Virginia,"King George County, Virginia",76241.0
2010,Virginia,"King William County, Virginia",64946.0
2010,Virginia,"Lancaster County, Virginia",45209.0
2010,Virginia,"Lee County, Virginia",31352.0
2010,Virginia,"Loudoun County, Virginia",115574.0
2010,Virginia,"Louisa County, Virginia",54257.0
2010,Virginia,"Lunenburg County, Virginia",37424.0
2010,Virginia,"Madison County, Virginia",56608.0
2010,Virginia,"Mathews County, Virginia",47435.0
2010,Virginia,"Mecklenburg County, Virginia",36431.0
2010,Virginia,"Middlesex County, Virginia",50207.0
2010,Virginia,"Montgomery County, Virginia",43229.0
2010,Virginia,"Nelson County, Virginia",48118.0
2010,Virginia,"New Kent County, Virginia",70590.0
2010,Virginia,"Northampton County, Virginia",35760.0
2010,Virginia,"Northumberland County, Virginia",51944.0
2010,Virginia,"Nottoway County, Virginia",37344.0
2010,Virginia,"Orange County, Virginia",54916.0
2010,Virginia,"Page County, Virginia",41617.0
2010,Virginia,"Patrick County, Virginia",35813.0
2010,Virginia,"Pittsylvania County, Virginia",39224.0
2010,Virginia,"Powhatan County, Virginia",73593.0
2010,Virginia,"Prince Edward County, Virginia",36191.0
2010,Virginia,"Prince George County, Virginia",64171.0
2010,Virginia,"Prince William County, Virginia",91098.0
2010,Virginia,"Pulaski County, Virginia",41163.0
2010,Virginia,"Rappahannock County, Virginia",62117.0
2010,Virginia,"Richmond County, Virginia",42182.0
2010,Virginia,"Roanoke County, Virginia",59446.0
2010,Virginia,"Rockbridge County, Virginia",44417.0
2010,Virginia,"Rockingham County, Virginia",49930.0
2010,Virginia,"Russell County, Virginia",32780.0
2010,Virginia,"Scott County, Virginia",34250.0
2010,Virginia,"Shenandoah County, Virginia",50171.0
2010,Virginia,"Smyth County, Virginia",34864.0
2010,Virginia,"Southampton County, Virginia",45426.0
2010,Virginia,"Spotsylvania County, Virginia",76574.0
2010,Virginia,"Stafford County, Virginia",93065.0
2010,Virginia,"Surry County, Virginia",55030.0
2010,Virginia,"Sussex County, Virginia",37978.0
2010,Virginia,"Tazewell County, Virginia",35215.0
2010,Virginia,"Warren County, Virginia",60522.0
2010,Virginia,"Washington County, Virginia",40422.0
2010,Virginia,"Westmoreland County, Virginia",52990.0
2010,Virginia,"Wise County, Virginia",33608.0
2010,Virginia,"Wythe County, Virginia",38948.0
2010,Virginia,"York County, Virginia",81055.0
2010,Virginia,"Alexandria city, Virginia",80847.0
2010,Virginia,"Bedford city, Virginia",32262.0
2010,Virginia,"Bristol city, Virginia",32079.0
2010,Virginia,"Buena Vista city, Virginia",39955.0
2010,Virginia,"Charlottesville city, Virginia",42240.0
2010,Virginia,"Chesapeake city, Virginia",67855.0
2010,Virginia,"Colonial Heights city, Virginia",50571.0
2010,Virginia,"Covington city, Virginia",35277.0
2010,Virginia,"Danville city, Virginia",29936.0
2010,Virginia,"Emporia city, Virginia",32788.0
2010,Virginia,"Fairfax city, Virginia",97900.0
2010,Virginia,"Falls Church city, Virginia",114409.0
2010,Virginia,"Franklin city, Virginia",33174.0
2010,Virginia,"Fredericksburg city, Virginia",43558.0
2010,Virginia,"Galax city, Virginia",22333.0
2010,Virginia,"Hampton city, Virginia",49815.0
2010,Virginia,"Harrisonburg city, Virginia",37235.0
2010,Virginia,"Hopewell city, Virginia",37789.0
2010,Virginia,"Lexington city, Virginia",31571.0
2010,Virginia,"Lynchburg city, Virginia",37058.0
2010,Virginia,"Manassas city, Virginia",75173.0
2010,Virginia,"Manassas Park city, Virginia",70299.0
2010,Virginia,"Martinsville city, Virginia",32408.0
2010,Virginia,"Newport News city, Virginia",49562.0
2010,Virginia,"Norfolk city, Virginia",42677.0
2010,Virginia,"Norton city, Virginia",33944.0
2010,Virginia,"Petersburg city, Virginia",36449.0
2010,Virginia,"Poquoson city, Virginia",84315.0
2010,Virginia,"Portsmouth city, Virginia",45488.0
2010,Virginia,"Radford city, Virginia",29155.0
2010,Virginia,"Richmond city, Virginia",38266.0
2010,Virginia,"Roanoke city, Virginia",36422.0
2010,Virginia,"Salem city, Virginia",48828.0
2010,Virginia,"Staunton city, Virginia",42724.0
2010,Virginia,"Suffolk city, Virginia",65104.0
2010,Virginia,"Virginia Beach city, Virginia",64618.0
2010,Virginia,"Waynesboro city, Virginia",40977.0
2010,Virginia,"Williamsburg city, Virginia",50794.0
2010,Virginia,"Winchester city, Virginia",44873.0
2010,District of Columbia,"District of Columbia, District of Columbia",58526.0
2011,Maryland,"Worcester County, Maryland",57474.0
2011,Maryland,"Baltimore city, Maryland",40100.0
2011,Maryland,"Somerset County, Maryland",41420.0
2011,Maryland,"Talbot County, Maryland",63399.0
2011,Maryland,"Harford County, Maryland",79953.0
2011,Maryland,"Howard County, Maryland",105692.0
2011,Maryland,"Prince George's County, Maryland",73447.0
2011,Maryland,"Baltimore County, Maryland",65411.0
2011,Maryland,"Frederick County, Maryland",82668.0
2011,Maryland,"Garrett County, Maryland",45280.0
2011,Maryland,"Kent County, Maryland",53480.0
2011,Maryland,"Carroll County, Maryland",83325.0
2011,Maryland,"Queen Anne's County, Maryland",84483.0
2011,Maryland,"Charles County, Maryland",92135.0
2011,Maryland,"Washington County, Maryland",53180.0
2011,Maryland,"Wicomico County, Maryland",51739.0
2011,Maryland,"Caroline County, Maryland",61021.0
2011,Maryland,"Allegany County, Maryland",39408.0
2011,Maryland,"Anne Arundel County, Maryland",85690.0
2011,Maryland,"Calvert County, Maryland",92981.0
2011,Maryland,"Montgomery County, Maryland",95660.0
2011,Maryland,"St. Mary's County, Maryland",82529.0
2011,Maryland,"Dorchester County, Maryland",46683.0
2011,Maryland,"Cecil County, Maryland",66903.0
2011,Virginia,"James City County, Virginia",75938.0
2011,Virginia,"Russell County, Virginia",32555.0
2011,Virginia,"Smyth County, Virginia",34533.0
2011,Virginia,"Bedford city, Virginia",34647.0
2011,Virginia,"Lexington city, Virginia",33670.0
2011,Virginia,"Campbell County, Virginia",45992.0
2011,Virginia,"Henry County, Virginia",33695.0
2011,Virginia,"King George County, Virginia",82173.0
2011,Virginia,"Lancaster County, Virginia",46625.0
2011,Virginia,"Lee County, Virginia",32588.0
2011,Virginia,"Mathews County, Virginia",54118.0
2011,Virginia,"Prince Edward County, Virginia",36789.0
2011,Virginia,"Prince George County, Virginia",62924.0
2011,Virginia,"Rockingham County, Virginia",51775.0
2011,Virginia,"Scott County, Virginia",35846.0
2011,Virginia,"Surry County, Virginia",53505.0
2011,Virginia,"Appomattox County, Virginia",47992.0
2011,Virginia,"Franklin County, Virginia",47606.0
2011,Virginia,"Mecklenburg County, Virginia",36069.0
2011,Virginia,"Montgomery County, Virginia",44231.0
2011,Virginia,"Augusta County, Virginia",51719.0
2011,Virginia,"Cumberland County, Virginia",45184.0
2011,Virginia,"Goochland County, Virginia",81288.0
2011,Virginia,"Halifax County, Virginia",34889.0
2011,Virginia,"Madison County, Virginia",59734.0
2011,Virginia,"Prince William County, Virginia",95531.0
2011,Virginia,"Southampton County, Virginia",46733.0
2011,Virginia,"Brunswick County, Virginia",34170.0
2011,Virginia,"Caroline County, Virginia",58707.0
2011,Virginia,"Northampton County, Virginia",36965.0
2011,Virginia,"Patrick County, Virginia",36057.0
2011,Virginia,"Rockbridge County, Virginia",45489.0
2011,Virginia,"Shenandoah County, Virginia",50535.0
2011,Virginia,"Norton city, Virginia",36944.0
2011,Virginia,"Staunton city, Virginia",42757.0
2011,Virginia,"Fluvanna County, Virginia",68615.0
2011,Virginia,"Amelia County, Virginia",51540.0
2011,Virginia,"Radford city, Virginia",29101.0
2011,Virginia,"Winchester city, Virginia",46065.0
2011,Virginia,"Accomack County, Virginia",41595.0
2011,Virginia,"Craig County, Virginia",54120.0
2011,Virginia,"Floyd County, Virginia",40761.0
2011,Virginia,"Giles County, Virginia",43012.0
2011,Virginia,"Grayson County, Virginia",31599.0
2011,Virginia,"Nottoway County, Virginia",37507.0
2011,Virginia,"Rappahannock County, Virginia",64113.0
2011,Virginia,"Charles City County, Virginia",47093.0
2011,Virginia,"Culpeper County, Virginia",66458.0
2011,Virginia,"Dinwiddie County, Virginia",50583.0
2011,Virginia,"Greene County, Virginia",58550.0
2011,Virginia,"Hanover County, Virginia",77506.0
2011,Virginia,"Lunenburg County, Virginia",35210.0
2011,Virginia,"Orange County, Virginia",56837.0
2011,Virginia,"Emporia city, Virginia",30481.0
2011,Virginia,"Wythe County, Virginia",40920.0
2011,Virginia,"Colonial Heights city, Virginia",51396.0
2011,Virginia,"Harrisonburg city, Virginia",37850.0
2011,Virginia,"Bland County, Virginia",42864.0
2011,Virginia,"Botetourt County, Virginia",65633.0
2011,Virginia,"Buckingham County, Virginia",36378.0
2011,Virginia,"Bristol city, Virginia",32122.0
2011,Virginia,"Covington city, Virginia",36242.0
2011,Virginia,"Williamsburg city, Virginia",50742.0
2011,Virginia,"Virginia Beach city, Virginia",65910.0
2011,Virginia,"Carroll County, Virginia",35841.0
2011,Virginia,"Washington County, Virginia",41526.0
2011,Virginia,"Westmoreland County, Virginia",52258.0
2011,Virginia,"Page County, Virginia",43435.0
2011,Virginia,"Pulaski County, Virginia",40987.0
2011,Virginia,"Alexandria city, Virginia",82899.0
2011,Virginia,"Danville city, Virginia",31011.0
2011,Virginia,"Hampton city, Virginia",51083.0
2011,Virginia,"Amherst County, Virginia",44383.0
2011,Virginia,"Bath County, Virginia",52500.0
2011,Virginia,"Buchanan County, Virginia",30606.0
2011,Virginia,"Newport News city, Virginia",50942.0
2011,Virginia,"Stafford County, Virginia",94658.0
2011,Virginia,"Lynchburg city, Virginia",37733.0
2011,Virginia,"Richmond city, Virginia",39201.0
2011,Virginia,"Martinsville city, Virginia",32440.0
2011,Virginia,"Essex County, Virginia",44581.0
2011,Virginia,"Tazewell County, Virginia",36436.0
2011,Virginia,"Buena Vista city, Virginia",35426.0
2011,Virginia,"Manassas Park city, Virginia",70137.0
2011,Virginia,"Petersburg city, Virginia",36289.0
2011,Virginia,"Sussex County, Virginia",40088.0
2011,Virginia,"Fairfax city, Virginia",99300.0
2011,Virginia,"Manassas city, Virginia",73091.0
2011,Virginia,"Roanoke city, Virginia",37753.0
2011,Virginia,"Suffolk city, Virginia",65351.0
2011,Virginia,"Charlotte County, Virginia",37173.0
2011,Virginia,"Chesterfield County, Virginia",72886.0
2011,Virginia,"Greensville County, Virginia",42000.0
2011,Virginia,"Isle of Wight County, Virginia",64925.0
2011,Virginia,"Franklin city, Virginia",33956.0
2011,Virginia,"Charlottesville city, Virginia",43980.0
2011,Virginia,"Henrico County, Virginia",61206.0
2011,Virginia,"King William County, Virginia",64982.0
2011,Virginia,"Louisa County, Virginia",56502.0
2011,Virginia,"Middlesex County, Virginia",53615.0
2011,Virginia,"Richmond County, Virginia",46456.0
