"","State","County","Year","Area","Length","Road.Density"
"1","VIRGINIA","ROANOKE County",2011,1346.58343116086,3537.31778708635,2.62688349286824
"2","VIRGINIA","FRANKLIN County",2011,1346.58343116086,7267.70315751245,5.39714286492231
"3","VIRGINIA","BEDFORD County",2011,1346.58343116086,7734.80930068481,5.74402530262592
"4","VIRGINIA","FAIRFAX County",2011,1346.58343116086,8600.18808948855,6.38667303523444
"5","VIRGINIA","SALEM",2011,1346.58343116086,481.939055163954,0.357897657145895
"6","VIRGINIA","ROANOKE City",2011,1346.58343116086,1563.42105492211,1.16102799035208
"7","VIRGINIA","SALEM City",2011,1346.58343116086,481.939055163954,0.357897657145895
"8","VIRGINIA","RICHMOND City",2011,1346.58343116086,1935.38702910937,1.43725742076071
"9","VIRGINIA","FRANKLIN City",2011,1346.58343116086,159.896847273349,0.118742621937287
"10","VIRGINIA","RICHMOND County",2011,1346.58343116086,1449.5004857253,1.07642827929029
"11","VIRGINIA","FAIRFAX City",2011,1346.58343116086,173.601302412672,0.128919826573994
"12","VIRGINIA","ROANOKE County",2012,1346.58343116086,3537.7397135758,2.62719682398438
"13","VIRGINIA","FRANKLIN County",2012,1346.58343116086,7259.93358929193,5.39137302694516
"14","VIRGINIA","BEDFORD County",2012,1346.58343116086,7735.85175209601,5.74479944805729
"15","VIRGINIA","FAIRFAX County",2012,1346.58343116086,9145.93584928948,6.79195632268025
"16","VIRGINIA","SALEM",2012,1346.58343116086,479.055113113131,0.355755983645326
"17","VIRGINIA","ROANOKE City",2012,1346.58343116086,1558.9729922998,1.15772476938606
"18","VIRGINIA","SALEM City",2012,1346.58343116086,479.055113113131,0.355755983645326
"19","VIRGINIA","RICHMOND City",2012,1346.58343116086,2086.41365458637,1.54941283718879
"20","VIRGINIA","FRANKLIN City",2012,1346.58343116086,159.862297886778,0.118716964866383
"21","VIRGINIA","RICHMOND County",2012,1346.58343116086,1449.45519634432,1.07639464648305
"22","VIRGINIA","FAIRFAX City",2012,1346.58343116086,216.902472971347,0.161076148682714
"23","VIRGINIA","ROANOKE County",2013,1346.58343116086,3530.19167626862,2.62159149932902
"24","VIRGINIA","FRANKLIN County",2013,1346.58343116086,7230.43271678371,5.36946508435092
"25","VIRGINIA","BEDFORD County",2013,1346.58343116086,7742.93378539388,5.75005870874176
"26","VIRGINIA","FAIRFAX County",2013,1346.58343116086,9105.39411667395,6.76184921481202
"27","VIRGINIA","SALEM",2013,1346.58343116086,478.942042704221,0.355672015280431
"28","VIRGINIA","ROANOKE City",2013,1346.58343116086,1557.74069591284,1.15680964124885
"29","VIRGINIA","SALEM City",2013,1346.58343116086,478.942042704221,0.355672015280431
"30","VIRGINIA","RICHMOND City",2013,1346.58343116086,2085.27729947773,1.54856895697882
"31","VIRGINIA","FRANKLIN City",2013,1346.58343116086,159.862297923139,0.118716964893386
"32","VIRGINIA","RICHMOND County",2013,1346.58343116086,1449.45519659416,1.07639464666858
"33","VIRGINIA","FAIRFAX City",2013,1346.58343116086,217.434647917085,0.161471352524841
"34","VIRGINIA","ROANOKE County",2014,1346.58343116086,3542.20957617926,2.63051623405584
"35","VIRGINIA","FRANKLIN County",2014,1346.58343116086,7234.58500059632,5.37254865401064
"36","VIRGINIA","BEDFORD County",2014,1346.58343116086,7873.67897609816,5.84715272288062
"37","VIRGINIA","FAIRFAX County",2014,1346.58343116086,9351.30037689007,6.94446416055224
"38","VIRGINIA","SALEM",2014,1346.58343116086,479.794161915322,0.356304816183354
"39","VIRGINIA","ROANOKE City",2014,1346.58343116086,1558.8973988939,1.15766863219905
"40","VIRGINIA","SALEM City",2014,1346.58343116086,479.794161915322,0.356304816183354
"41","VIRGINIA","RICHMOND City",2014,1346.58343116086,2089.24196208803,1.55151319535169
"42","VIRGINIA","FRANKLIN City",2014,1346.58343116086,158.44783208626,0.117666554050546
"43","VIRGINIA","RICHMOND County",2014,1346.58343116086,1449.45519659416,1.07639464666858
"44","VIRGINIA","FAIRFAX City",2014,1346.58343116086,218.915160302523,0.162570810865986
"45","VIRGINIA","ROANOKE County",2015,1346.58343116086,3541.7730131614,2.63019203355867
"46","VIRGINIA","FRANKLIN County",2015,1346.58343116086,7230.62616812544,5.36960874521682
"47","VIRGINIA","BEDFORD County",2015,1346.58343116086,7873.25659160696,5.84683905164315
"48","VIRGINIA","FAIRFAX County",2015,1346.58343116086,9281.64306678156,6.89273523793475
"49","VIRGINIA","SALEM",2015,1346.58343116086,479.736877022495,0.35626227526721
"50","VIRGINIA","ROANOKE City",2015,1346.58343116086,1558.73698097042,1.15754950261542
"51","VIRGINIA","SALEM City",2015,1346.58343116086,479.736877022495,0.35626227526721
"52","VIRGINIA","RICHMOND City",2015,1346.58343116086,2086.26532547501,1.54930268500072
"53","VIRGINIA","FRANKLIN City",2015,1346.58343116086,158.646599708326,0.11781416289339
"54","VIRGINIA","RICHMOND County",2015,1346.58343116086,1449.46137733108,1.07639923660841
"55","VIRGINIA","FAIRFAX City",2015,1346.58343116086,218.915160302523,0.162570810865986
"56","VIRGINIA","ROANOKE County",2016,1346.58343116086,3541.42993267001,2.62993725507005
"57","VIRGINIA","FRANKLIN County",2016,1346.58343116086,7230.31712360236,5.36937924252436
"58","VIRGINIA","BEDFORD County",2016,1346.58343116086,7873.25464789855,5.84683760820611
"59","VIRGINIA","FAIRFAX County",2016,1346.58343116086,9273.50646105162,6.88669283050447
"60","VIRGINIA","SALEM",2016,1346.58343116086,479.628087444431,0.356181485933592
