state,county,year,builtup,forest,agriculture,other
District of Columbia,District of Columbia,2000,82.24000000000001,6.93,0.11,10.72
Maryland,Allegany County,2000,11.040000000000001,77.37,9.08,2.5
Maryland,Anne Arundel County,2000,39.63,30.36,10.149999999999999,19.87
Maryland,Baltimore County,2000,36.11,34.120000000000005,23.270000000000003,6.500000000000001
Maryland,Baltimore city,2000,89.77000000000001,3.9499999999999997,0.09,6.170000000000001
Maryland,Calvert County,2000,16.84,47.269999999999996,13.2,22.700000000000003
Maryland,Caroline County,2000,8.37,13.58,57.21,20.84
Maryland,Carroll County,2000,17.72,26.64,53.2,2.43
Maryland,Cecil County,2000,14.19,33.25,38.34,14.209999999999999
Maryland,Charles County,2000,12.659999999999998,50.55,14.2,22.590000000000003
Maryland,Dorchester County,2000,5.33,6.74,28.68,59.25
Maryland,Frederick County,2000,15.59,32.7,49.36,2.3499999999999996
Maryland,Garrett County,2000,6.29,71.25,17.05,5.3999999999999995
Maryland,Harford County,2000,21.290000000000003,35.44,31.560000000000002,11.72
Maryland,Howard County,2000,36.93,31.759999999999998,28.84,2.46
Maryland,Kent County,2000,7.19,11.86,59.26,21.68
Maryland,Montgomery County,2000,42.190000000000005,26.720000000000002,25.31,5.779999999999999
Maryland,Prince George's County,2000,42.35,34.5,10.9,12.26
Maryland,Queen Anne's County,2000,10.060000000000002,9.38,56.73,23.84
Maryland,Somerset County,2000,6.21,8.2,20.83,64.77
Maryland,St. Mary's County,2000,13.34,39.650000000000006,21.060000000000002,25.95
Maryland,Talbot County,2000,9.989999999999998,10.98,49.52,29.5
Maryland,Washington County,2000,16.2,38.84,42.099999999999994,2.8599999999999994
Maryland,Wicomico County,2000,13.67,17.130000000000003,33.49,35.709999999999994
Maryland,Worcester County,2000,7.4399999999999995,9.45,24.77,58.35
Virginia,Accomack County,2000,5.9,6.449999999999999,22.79,64.86000000000001
Virginia,Albemarle County,2000,8.77,66.05,22.73,2.45
Virginia,Alexandria city,2000,95.9,1.29,0.01,2.79
Virginia,Alleghany County,2000,5.1000000000000005,88.84,4.8,1.25
Virginia,Amelia County,2000,4.81,60.29,19.95,14.95
Virginia,Amherst County,2000,6.3999999999999995,76.58,14.040000000000001,2.97
Virginia,Appomattox County,2000,6.160000000000001,63.040000000000006,21.990000000000002,8.8
Virginia,Arlington County,2000,96.63,2.73,NA,0.63
Virginia,Augusta County,2000,7.34,57.17,35.01,0.49
Virginia,Bath County,2000,2.7299999999999995,89.72,6.2,1.37
Virginia,Bedford County,2000,8.389999999999999,61.099999999999994,26.75,3.7699999999999996
Virginia,Bland County,2000,3.61,78.25,17.61,0.53
Virginia,Botetourt County,2000,7.03,73.65,17.189999999999998,2.1399999999999997
Virginia,Bristol city,2000,72.69999999999999,18.35,8.16,0.79
Virginia,Brunswick County,2000,5.31,64.08,11.19,19.41
Virginia,Buchanan County,2000,5.04,92.17,0.53,2.27
Virginia,Buckingham County,2000,4.659999999999999,70.5,13.040000000000001,11.799999999999999
Virginia,Buena Vista city,2000,44.45,41.82,12.43,1.3
Virginia,Campbell County,2000,9.77,58.86,24.44,6.92
Virginia,Caroline County,2000,6.06,60.04,14.06,19.82
Virginia,Carroll County,2000,8.18,61.68000000000001,28.59,1.55
Virginia,Charles City County,2000,3.67,44.980000000000004,14.97,36.38
Virginia,Charlotte County,2000,5.12,60.44,20.78,13.649999999999999
Virginia,Charlottesville city,2000,92.19999999999999,6.859999999999999,0.26,0.6900000000000001
Virginia,Chesapeake city,2000,21.59,3.51,22.94,51.96
Virginia,Chesterfield County,2000,29.95,52.010000000000005,3.9799999999999995,14.07
Virginia,Clarke County,2000,7.43,37.339999999999996,54.029999999999994,1.2000000000000002
Virginia,Colonial Heights city,2000,74.88,6.460000000000001,NA,18.66
Virginia,Covington city,2000,54.18,38.64,6.01,1.1900000000000002
Virginia,Craig County,2000,3.6,84.64,11.16,0.5900000000000001
Virginia,Culpeper County,2000,6.93,44.75,42.78,5.55
Virginia,Cumberland County,2000,4.809999999999999,65.91,17.279999999999998,11.999999999999998
Virginia,Danville city,2000,58.13,32.6,6.16,3.12
Virginia,Dickenson County,2000,5.38,87.92999999999999,2.88,3.8200000000000003
Virginia,Dinwiddie County,2000,6.7700000000000005,60.86,14.27,18.08
Virginia,Emporia city,2000,50.73,20.85,11.89,16.519999999999996
Virginia,Essex County,2000,4.84,47.7,24.89,22.56
Virginia,Fairfax County,2000,63.10000000000001,27.13,2.88,6.9
Virginia,Fairfax city,2000,95.98,3.9,NA,0.12
Virginia,Falls Church city,2000,99.65999999999998,0.03,NA,0.3
