state,county,year,builtup,forest,agriculture,other
Virginia,Fauquier County,2000,6.739999999999999,45.66,43.59,4
Virginia,Floyd County,2000,6.619999999999999,62.39,30,0.9700000000000001
Virginia,Fluvanna County,2000,6.9799999999999995,68.41999999999999,16.45,8.15
Virginia,Franklin County,2000,8.01,64.97,23.029999999999998,3.9999999999999996
Virginia,Franklin city,2000,42.760000000000005,19.86,18.7,18.67
Virginia,Frederick County,2000,11.76,55.040000000000006,32.18,1.04
Virginia,Fredericksburg city,2000,62.84,26.120000000000005,6.28,4.75
Virginia,Galax city,2000,56.99,26.53,15.81,0.67
Virginia,Giles County,2000,5.93,79.72,13.18,1.1400000000000001
Virginia,Gloucester County,2000,8.4,36.81,11.549999999999999,43.24
Virginia,Goochland County,2000,8.17,63.099999999999994,18.76,9.969999999999999
Virginia,Grayson County,2000,5.81,65.08,26.580000000000002,2.5299999999999994
Virginia,Greene County,2000,7.829999999999999,66.91,24.48,0.78
Virginia,Greensville County,2000,4.699999999999999,45.8,18.85,30.65
Virginia,Halifax County,2000,5.8999999999999995,61.57000000000001,21.369999999999997,11.149999999999999
Virginia,Hampton city,2000,68.73,1.9300000000000002,0.41000000000000003,28.919999999999998
Virginia,Hanover County,2000,12.8,50.33,21.1,15.76
Virginia,Harrisonburg city,2000,74.78,7.8999999999999995,17.13,0.18000000000000002
Virginia,Henrico County,2000,45.910000000000004,24.03,9.82,20.240000000000002
Virginia,Henry County,2000,12.410000000000002,69.85,12.59,5.14
Virginia,Highland County,2000,2.62,79.25,16.8,1.34
Virginia,Hopewell city,2000,77.67999999999999,6.99,0.14,15.200000000000001
Virginia,Isle of Wight County,2000,7.83,30.970000000000002,31.630000000000003,29.57
Virginia,James City County,2000,20.91,41.69,7.33,30.04
Virginia,King George County,2000,8.370000000000001,52.79,18.27,20.560000000000002
Virginia,King William County,2000,4.680000000000001,48.56,21.099999999999998,25.68
Virginia,King and Queen County,2000,3.78,55.83,17.2,23.190000000000005
Virginia,Lancaster County,2000,8.38,45.4,20.57,25.66
Virginia,Lee County,2000,7.46,66.56,22.14,3.8499999999999996
Virginia,Lexington city,2000,89.48000000000002,7.050000000000001,2.95,0.52
Virginia,Loudoun County,2000,15.299999999999999,34.93,47.290000000000006,2.48
Virginia,Louisa County,2000,6.61,62.96,16.53,13.9
Virginia,Lunenburg County,2000,5.23,65.97,15.77,13.030000000000001
Virginia,Lynchburg city,2000,57.09,36.41,5.5,1.01
Virginia,Madison County,2000,4.71,61.6,33.04,0.67
Virginia,Manassas Park city,2000,78.52,19.849999999999998,1.43,0.19
Virginia,Manassas city,2000,92.16000000000001,2.97,3.66,1.22
Virginia,Martinsville city,2000,69.77000000000001,28.81,0.71,0.7200000000000001
Virginia,Mathews County,2000,6.710000000000001,19.74,10.23,63.31
Virginia,Mecklenburg County,2000,6.929999999999999,53.86,20.44,18.75
Virginia,Middlesex County,2000,8.209999999999999,47.11,22.18,22.51
Virginia,Montgomery County,2000,13.689999999999998,61.75,23.76,0.79
Virginia,Nelson County,2000,5.279999999999999,77.88,13.62,3.22
Virginia,New Kent County,2000,7.2700000000000005,54.32,9.91,28.48
Virginia,Newport News city,2000,68.46000000000001,11.63,0.98,18.94
Virginia,Norfolk city,2000,86.23,0.74,0.02,12.999999999999998
Virginia,Northampton County,2000,3.9899999999999998,6.379999999999999,23.169999999999998,66.46
Virginia,Northumberland County,2000,7.49,40.94,27.32,24.25
Virginia,Norton city,2000,34.4,62.05,0.34,3.21
Virginia,Nottoway County,2000,8.06,60.97,17.349999999999998,13.599999999999998
Virginia,Orange County,2000,6.88,54.480000000000004,34.01,4.62
Virginia,Page County,2000,8.06,66.3,24.439999999999998,1.1800000000000002
Virginia,Patrick County,2000,6.31,76.13,15.469999999999999,2.07
Virginia,Petersburg city,2000,59.53999999999999,23.59,5.96,10.91
Virginia,Pittsylvania County,2000,7.609999999999999,58.099999999999994,26.659999999999997,7.62
Virginia,Poquoson city,2000,25.439999999999998,3.8599999999999994,0.06,70.65
Virginia,Portsmouth city,2000,74.63,1.5,1.29,22.580000000000002
Virginia,Powhatan County,2000,6.659999999999999,66.43,16.23,10.670000000000002
Virginia,Prince Edward County,2000,6.8999999999999995,63.699999999999996,18.209999999999997,11.180000000000001
Virginia,Prince George County,2000,9.03,48.65,14.75,27.58
Virginia,Prince William County,2000,27.72,43.4,18.01,10.85
Virginia,Pulaski County,2000,10.48,56.67,29.639999999999997,3.21
Virginia,Radford city,2000,54.54,33.72,8.41,3.329999999999999
Virginia,Rappahannock County,2000,3.5999999999999996,68.08,27.869999999999997,0.42999999999999994
Virginia,Richmond County,2000,5.180000000000001,48.97,25.55,20.3
Virginia,Richmond city,2000,86.42,7.41,0.05,6.12
Virginia,Roanoke County,2000,20.61,68.88,9.99,0.51
Virginia,Roanoke city,2000,87.83999999999999,9.33,2.3,0.52
Virginia,Rockbridge County,2000,6.18,69.14999999999999,23.95,0.73
Virginia,Rockingham County,2000,7.94,57.35,34.14,0.5700000000000001
Virginia,Russell County,2000,6.2299999999999995,62.75,29.33,1.6800000000000002
Virginia,Salem city,2000,86.85,10.070000000000002,3.05,0.01
Virginia,Scott County,2000,6.170000000000001,73.52,17.54,2.7699999999999996
Virginia,Shenandoah County,2000,8.4,60,30.89,0.7200000000000001
Virginia,Smyth County,2000,6.7200000000000015,68.39,24.29,0.5900000000000001
Virginia,Southampton County,2000,4.4399999999999995,36.84,29.57,29.16
Virginia,Spotsylvania County,2000,12.41,58.260000000000005,13.17,16.16
Virginia,Stafford County,2000,16.98,59.53,9.9,13.590000000000002
Virginia,Staunton city,2000,51.24,17.740000000000002,30.69,0.32
Virginia,Suffolk city,2000,9.959999999999999,22.83,25.64,41.58
Virginia,Surry County,2000,4.17,46.83,21.49,27.51
Virginia,Sussex County,2000,4.220000000000001,49.720000000000006,16.75,29.319999999999997
Virginia,Tazewell County,2000,7.54,70.89,20.93,0.66
Virginia,Virginia Beach city,2000,35.800000000000004,2.56,13.959999999999999,47.66
Virginia,Warren County,2000,12.14,63.22,22.830000000000002,1.8000000000000003
Virginia,Washington County,2000,8.36,57.13999999999999,33.46,1.05
Virginia,Waynesboro city,2000,58.22,21.290000000000003,20.240000000000002,0.24
Virginia,Westmoreland County,2000,7.28,41.71,27.84,23.18
Virginia,Williamsburg city,2000,55.81999999999999,34.92999999999999,0.32999999999999996,8.92
Virginia,Winchester city,2000,84.50999999999999,7.9,7.48,0.12
Virginia,Wise County,2000,8.21,79.61,3.73,8.440000000000001
Virginia,Wythe County,2000,7.18,53.97,37.67,1.19
Virginia,York County,2000,26.56,37.66,2.59,33.190000000000005
